clean_text,emotion_label,stress_label
senyum pas jadi coba santai kantor,happy,0.28
lelah puas hasil bagus pikir rumah keluarga,happy,0.08
senang banget ketemu teman lucu malam teman kantor,happy,0.28
lelah puas hasil bagus jujur kantor teman kantor,happy,0.3
pikir susah tidur jujur kampus,anxious,0.84
geram banget layan lucu pas jalan,angry,0.91
khawatir kondisi kampus,anxious,0.79
tugas selesai lega banget lucu kantor,happy,0.28
cinta wanita wanita,neutral,0.32
manusia bodoh anak tidak suka ya tinggal skip jangan racist aduh setan setan komentar seram setan,angry,0.87
minggu seru banget ya pas jalan,happy,0.1
tonton youtube banget asli bareng teman,neutral,0.29
ptm bangkee enak arghh,angry,0.94
senyum pas jadi bareng teman,happy,0.19
malam pikir sedih coba santai bareng teman,sad,0.81
istirahat sebentar banget asli kampus,sad,0.76
cemas ya pagi,anxious,0.81
ncts tunggu comeback nct suara ayo tabung siap coba biar tidak panik announce coba direct message,neutral,0.35
sedih,sad,0.5
marah serius pas jalan,angry,0.85
serius,neutral,0.37
lelah hadap orang egois serius kampus keluarga,angry,0.94
sabar bohong random,angry,0.82
tidak jadi sedih orang ekskul tidak seru senyum indah tawan surat pemberitahuan tahun cekep cewek cakap,neutral,0.36
bingung takut ambil putus pikir malam,anxious,0.74
besok jadwal meeting rutin pas jalan teman kantor,neutral,0.28
cemas pikir rumah,anxious,0.86
kabar keluarga pagi coba santai malam,happy,0.08
senang banget ketemu teman banget pas jalan,happy,0.06
duduk dengar musik banget asli pas jalan,neutral,0.24
marah pagi teman kantor,angry,0.75
ih sedih benar tega,sad,0.74
sip kak ikut si giveaway caption postingannya ya semangat mc,happy,0.01
senang sedih sama senang kasih semangat abang sedih autumn abang hobi,neutral,0.27
takut hasil jelek coba santai bareng teman,anxious,0.78
kesal banget orang tidak tepat serius kantor,angry,0.72
terima kasih ya bikin hari kantor,happy,0.27
sedih banget serius kampus,sad,0.57
berat banget jalan banget teman kantor,sad,0.82
minggu seru banget sumpah kampus,happy,0.13
takut hasil jelek sumpah,anxious,0.95
selesai makan siang bareng teman,neutral,0.35
marah sumpah teman kantor,angry,0.77
senang banget ketemu teman lucu pas jalan,happy,0.09
iya ya pikir takedown bilang badge hijau squad leader kayak hyotion foto takut jelek mata fan ya langsung takedown,anxious,0.85
senyum pas jadi serius bareng teman keluarga,happy,0.19
goblok bin bodoh ateis memfollow akun sains bukan peras bahkam bohong bodoh aku ateis iya,angry,0.93
mimpi buruk mimpi bunuh sumpah mimpi kayak cemas nyembunyiin mayat script sedih takut sesal panik anjir stressful mampus,anxious,0.79
lelah hadap orang egois coba santai,angry,0.68
marah pikir kampus,angry,0.91
lelah puas hasil bagus malam keluarga,happy,0.3
renjana weh bagus banget baca tamat wattpad cetak tidak begitu suka baca novel reinkarnasi bahasa berat bahasa mudah erti,happy,0.18
senyum pas jadi ya pas jalan teman kantor,happy,0.13
habis beres kamar kerja rumah keluarga,neutral,0.32
minggu seru banget sumpah malam keluarga,happy,0.22
selesai makan siang random pas jalan,neutral,0.3
pikir susah tidur coba santai rumah teman kantor,anxious,0.75
lolos interview kerja ya bareng teman,happy,0.09
takut hasil jelek lucu malam teman kantor,anxious,0.78
produktif suasana hati bagus kantor teman kantor,happy,0.23
gugup random bareng teman,anxious,0.93
emosi lihat komentar orang lucu rumah,angry,0.68
selesai makan siang serius malam teman kantor,neutral,0.44
kecewa banget hasil pagi,sad,0.66
enak mek,happy,0.05
besok jadwal meeting rutin sumpah pagi teman kantor,neutral,0.4
marah banget kerja beranta coba santai pas jalan,angry,0.88
geram banget layan ya kampus,angry,0.89
bingung takut ambil putus pikir,anxious,0.8
lolos interview kerja pikir,happy,0.26
pagi pergi sebentar minimarket serius,neutral,0.25
kesal banget jujur kantor keluarga,angry,0.73
tugas selesai lega banget ya kampus,happy,0.22
posisi kayak sender gue lihat linenya tidak semua orang tau line nder bilang maaf gue,neutral,0.36
erick thohir ajak kerja rumah warga manfaat lahan rumah mjdi lokasi tani erick gagas energi tani gera bumi semangat tan masyarakat hasil produk tani mandiri,neutral,0.29
tidak ada spesial pikir malam,neutral,0.21
cemas pikir pikir rumah,anxious,0.74
sabar bohong kantor,angry,0.91
sabar bohong ya kantor teman kantor,angry,0.81
hilang semangat coba santai malam,sad,0.67
nikah habis baca takut,anxious,0.82
allah hendak baik allah timpa musibah uji coba bukhari juang terap syariat,neutral,0.26
marah banget pas jalan keluarga,angry,0.69
tunggu depan moga handphone ku kuat,neutral,0.32
bingung takut ambil putus banget asli rumah teman kantor,anxious,0.78
cemas pikir pas jalan keluarga,anxious,0.79
tidak ada spesial kantor,neutral,0.39
hilang semangat sumpah kampus,sad,0.65
tonton youtube sumpah keluarga,neutral,0.37
tolong ya gue benci banget rapi kebelet berak,anxious,0.89
pikir susah tidur banget asli pas jalan,anxious,0.85
takut gue cium macan pendekar biru,anxious,0.81
pikir susah tidur lucu,anxious,0.7
cuaca lumayan panas pikir rumah keluarga,neutral,0.39
mandi sore les sedih malam minggu les,sad,0.74
besok jadwal meeting rutin banget asli bareng teman,neutral,0.43
marah pikir kantor,angry,0.77
marah banget kerja beranta pas jalan,angry,0.73
habis beres kamar kerja malam,neutral,0.35
khawatir kondisi ya bareng teman,anxious,0.87
lelah banget asli pas jalan,sad,0.64
pagi ngenalin anak pribadi suka banget backstorynya kayak fabel xixi malam senja dulunya hewan asli lo dewi matahari ngerestuin manusia,happy,0.02
tugas selesai lega banget banget kampus keluarga,happy,0.13
pagi pergi sebentar minimarket banget asli bareng teman,neutral,0.39
lucu wilayah presiden dewan wakil rakyat majelis musyawarat rakyat bukan gubernur gubernur milik wewenang merdeka kasih bodoh pindah kota tidak pernah pikir nasib jakarta jadi,angry,0.96
pikir susah tidur sumpah malam keluarga,anxious,0.76
duduk dengar musik pagi,neutral,0.28
pagi pergi sebentar minimarket random,neutral,0.28
lolos interview kerja pikir,happy,0.2
geram banget layan lucu malam teman kantor,angry,0.91
senang banget ketemu teman jujur bareng teman keluarga,happy,0.3
cemas pikir serius pagi,anxious,0.82
tidak pakai niacinn botol ungu gila banget kaget langsung cerah pakai takut,anxious,0.85
kabar keluarga pagi banget bareng teman,happy,0.19
sabar sedih,sad,0.78
selesai makan siang banget asli kantor,neutral,0.38
istirahat sebentar banget kampus teman kantor,sad,0.62
yosh semangat maacii asmakdoen pantjen ouye semangat maakk penasaran gue senin,happy,0.15
kecewa banget hasil pikir pagi teman kantor,sad,0.58
cuaca lumayan panas pikir kampus keluarga,neutral,0.3
lelah ya kantor,sad,0.62
takut hasil jelek pikir kampus,anxious,0.74
terima kasih ya bikin hari lucu pas jalan,happy,0.18
tidak ada spesial banget malam,neutral,0.3
pikir susah tidur ya kantor,anxious,0.95
senang banget ketemu teman sumpah pagi keluarga,happy,0.06
ratus woi lubang bekas tambang kawasan kota negara ikn nusantara luas ribu hektare lubang hasil total konsesi usaha tambang,neutral,0.29
terima kasih ya bikin hari jujur pas jalan,happy,0.07
ster efek jadwal takut ambil ster pikir ster efek horor,anxious,0.88
coba santai kampus,neutral,0.41
kosong malam keluarga,sad,0.82
usaha tidak panik kasih tau teman langsung swab antigen bla bla ngeprank doang emosi situ keluar stiker mutiara marah grup tidak lucu becandaanny,angry,0.9
kecewa banget hasil sumpah teman kantor,sad,0.67
sedih banget lucu pagi teman kantor,sad,0.68
makan favorit bikin bahagia lucu rumah,happy,0.19
buna kuat buna percaya tahap sedih kecewa luka jelas terima sembuh damai ikhlas now is not only orang only don forget pilih streaming,sad,0.64
duduk dengar musik kantor,neutral,0.21
tidak rugi tidur match barusan sangat uras emosi pagi,neutral,0.23
bingung takut ambil putus pikir pas jalan keluarga,anxious,0.96
cemas pikir ya pagi,anxious,0.74
hilang semangat kantor,sad,0.74
kesal banget malam,angry,0.9
kesal banget orang tidak tepat pikir kampus,angry,0.74
cemas pikir coba santai kantor,anxious,0.74
lelah puas hasil bagus ya bareng teman teman kantor,happy,0.19
emosi lihat komentar orang pikir kantor,angry,0.75
kabar keluarga pagi ya malam,happy,0.12
ibu banget beliau suka heran anak beli barang korea pop beli baju jual narkoboy suka jual macrame ibu lega,happy,0.09
marah,angry,0.77
berat banget jalan coba santai pagi,sad,0.82
kesal banget orang tidak tepat pikir pas jalan,angry,0.7
kabar keluarga pagi coba santai pagi keluarga,happy,0.28
semangat pagi,happy,0.16
takut gagal presentasi besok lucu malam,anxious,0.88
emosi lihat komentar orang ya rumah,angry,0.71
susah pindah on jadi jujur kantor teman kantor,sad,0.82
gugup jujur teman kantor,anxious,0.93
sabar bohong banget rumah,angry,0.88
gue bicara skripsyid takut banget sumpah,anxious,0.82
takut iya,anxious,0.71
duduk dengar musik keluarga,neutral,0.25
takut hasil jelek bareng teman,anxious,0.76
terima kasih ya bikin hari banget malam keluarga,happy,0.08
baca berita santai pas jalan,neutral,0.41
cuaca lumayan panas ya teman kantor,neutral,0.2
lelah puas hasil bagus coba santai,happy,0.14
makan favorit bikin bahagia jujur rumah keluarga,happy,0.22
kecewa banget hasil malam,sad,0.71
bikin rumah,angry,0.91
berat banget jalan random kantor,sad,0.84
gugup coba santai bareng teman teman kantor,anxious,0.84
enak,neutral,0.35
taksir nder dideketin lampu merah mundur suruh sekolah orang tua benci tolak kasih lampu merah pas tembak tolak takut sakit hati,angry,0.96
habis beres kamar kerja pikir malam teman kantor,neutral,0.38
tonton youtube banget kantor,neutral,0.33
geram banget layan random rumah,angry,0.74
lelah jujur bareng teman,sad,0.66
hilang semangat banget asli pas jalan teman kantor,sad,0.78
duduk dengar musik ya keluarga,neutral,0.32
tugas selesai lega banget banget malam,happy,0.29
tugas selesai lega banget pikir,happy,0.11
pikir susah tidur sumpah rumah keluarga,anxious,0.73
deg degan tunggu hasil umum malam keluarga,anxious,0.81
orang bikin emosi banget kantor,angry,0.7
hilang semangat kampus keluarga,sad,0.81
kabar keluarga pagi random bareng teman teman kantor,happy,0.28
produktif suasana hati bagus ya kampus teman kantor,happy,0.26
makan favorit bikin bahagia random kampus keluarga,happy,0.26
besok jadwal meeting rutin sumpah kantor,neutral,0.4
laptop kaget,anxious,0.73
cemas pikir pikir kantor,anxious,0.7
produktif suasana hati bagus sumpah bareng teman,happy,0.22
khawatir kondisi pikir kantor,anxious,0.93
selamat ulang adekk sehat bahagia ya,happy,0.05
makan favorit bikin bahagia coba santai pagi,happy,0.13
sedih banget banget pas jalan,sad,0.64
sedih banget ya,sad,0.73
takut hasil jelek pikir malam,anxious,0.75
makan favorit bikin bahagia jujur pas jalan,happy,0.09
terima kasih ya bikin hari banget pas jalan,happy,0.26
kecewa banget hasil coba santai keluarga,sad,0.59
sabar bohong pagi teman kantor,angry,0.74
susah pindah on jadi bareng teman,sad,0.73
sedih close bikin emosi moga senin,angry,0.93
tugas selesai lega banget coba santai bareng teman teman kantor,happy,0.08
cemas jujur,anxious,0.74
minggu seru banget kantor teman kantor,happy,0.25
senyum pas jadi ya,happy,0.1
lolos interview kerja ya pas jalan,happy,0.07
lolos interview kerja malam teman kantor,happy,0.3
selesai makan siang pikir rumah teman kantor,neutral,0.36
takut gagal presentasi besok banget asli keluarga,anxious,0.78
cuaca lumayan panas banget bareng teman keluarga,neutral,0.38
sumpah pas jalan,neutral,0.21
makan favorit bikin bahagia rumah teman kantor,happy,0.21
duduk dengar musik banget pas jalan keluarga,neutral,0.25
tonton youtube malam keluarga,neutral,0.38
besok jadwal meeting rutin pikir teman kantor,neutral,0.38
cuaca lumayan panas pikir rumah,neutral,0.29
pagi bangun asa campur aduk ya emosi ya sedih bingung banget putar tidak betah rumah,sad,0.77
berat banget jalan random malam,sad,0.75
cuaca lumayan panas banget keluarga,neutral,0.44
tidak begitu suka susu minum susu biar bongsor,neutral,0.22
hilang semangat serius rumah,sad,0.63
senyum pas jadi pikir rumah keluarga,happy,0.12
cuaca lumayan panas,neutral,0.34
senang banget ketemu teman random pagi,happy,0.16
semangat ya kak ain moga kakak percaya lindung doa tunjuk jalan keluar,happy,0.13
bismillah pacar adek uji semester kemarin semangat tinggal minggu kangen,happy,0.19
lelah puas hasil bagus pikir bareng teman teman kantor,happy,0.06
tonton youtube pikir kampus,neutral,0.39
sabar bohong coba santai rumah teman kantor,angry,0.79
senyum pas jadi keluarga,happy,0.1
istirahat sebentar banget asli kantor,sad,0.62
anxious banget meeting pikir pagi,anxious,0.71
berat banget jalan kampus teman kantor,sad,0.61
takut gagal presentasi besok ya pagi,anxious,0.88
makan favorit bikin bahagia pikir kantor,happy,0.2
cuaca lumayan panas,neutral,0.23
pikir susah tidur rumah,anxious,0.79
sabar bohong ya rumah,angry,0.67
terima kasih ya bikin hari,happy,0.14
kecewa banget hasil ya,sad,0.84
istirahat sebentar banget kampus,sad,0.67
kecewa banget hasil pikir pas jalan,sad,0.8
tali iman kuat cinta allah benci allah at tirmidzi,neutral,0.25
baca berita santai ya rumah,neutral,0.24
gugup ya kampus,anxious,0.84
minggu seru banget sumpah kampus,happy,0.07
minggu seru banget banget pas jalan teman kantor,happy,0.06
suka orang takut bilang sasimo,anxious,0.74
ya anjir suka banget lupa judul ya,neutral,0.34
kesal banget orang tidak tepat coba santai,angry,0.75
kecewa banget hasil pikir kampus,sad,0.81
lelah jujur malam,sad,0.63
malam pikir sedih pikir kampus,sad,0.65
anxious banget meeting jujur,anxious,0.96
tidak ada spesial banget,neutral,0.4
orang bikin emosi banget ya kampus keluarga,angry,0.82
tidak ada spesial banget pagi teman kantor,neutral,0.23
pikir susah tidur pagi,anxious,0.78
serius kampus,neutral,0.35
cemas sumpah pagi,anxious,0.94
geram banget layan kantor,angry,0.7
geram banget layan random teman kantor,angry,0.9
sedih banget pikir pagi,sad,0.77
makan favorit bikin bahagia rumah,happy,0.16
takut gagal presentasi besok lucu teman kantor,anxious,0.79
tidak ada spesial ya kampus,neutral,0.29
anxious banget meeting serius pagi,anxious,0.72
enak banget,sad,0.78
berat banget jalan sumpah kantor,sad,0.57
malam pikir sedih sumpah rumah keluarga,sad,0.81
sedih ya bukan kita tokoh utama,sad,0.6
senyum pas jadi pikir malam,happy,0.15
marah banget kerja beranta pikir pagi keluarga,angry,0.8
istirahat sebentar jujur pas jalan,sad,0.58
lelah pikir pas jalan,sad,0.82
marah banget kerja beranta banget pas jalan,angry,0.78
by the way rayang bikin jengkel ya hem,angry,0.92
ya kampus teman kantor,sad,0.65
berat banget jalan pikir malam,sad,0.64
gugup serius pas jalan,anxious,0.74
pagi pergi sebentar minimarket random malam,neutral,0.44
mantap pergi semangat,happy,0.06
marah banget kerja beranta ya kampus teman kantor,angry,0.69
lolos interview kerja sumpah pagi teman kantor,happy,0.27
selesai makan siang pikir,neutral,0.35
marah banget kerja beranta banget kantor,angry,0.66
duduk dengar musik banget bareng teman,neutral,0.45
baca berita santai kampus,neutral,0.43
rumah keluarga,sad,0.56
pikir susah tidur lucu rumah,anxious,0.79
khawatir kondisi pagi,anxious,0.92
anak muda semangat jangan letoy,happy,0.15
berat banget jalan serius kantor keluarga,sad,0.6
sedih banget ya kantor,sad,0.6
orang bikin emosi banget serius,angry,0.81
eh ikut sedih denise,sad,0.64
bikin serius kampus teman kantor,angry,0.77
ya rumah,neutral,0.28
cemas pikir rumah,anxious,0.9
orang bikin emosi banget random rumah teman kantor,angry,0.7
kabar keluarga pagi banget asli rumah,happy,0.08
produktif suasana hati bagus banget asli teman kantor,happy,0.29
negara negara demokrasi hormat nur wahid takut banget nama museum,anxious,0.85
takut hasil jelek pikir kampus,anxious,0.94
geram banget layan sumpah pas jalan,angry,0.92
aneh hobi dengar lagu sedih biar sedih,sad,0.6
cowok kayak alas dengar,angry,0.94
habis beres kamar kerja malam teman kantor,neutral,0.23
takut hasil jelek serius rumah keluarga,anxious,0.86
kesal banget pagi teman kantor,angry,0.88
lelah kampus teman kantor,sad,0.61
kecewa banget hasil lucu rumah teman kantor,sad,0.68
kabar keluarga pagi banget malam,happy,0.18
susah pindah on jadi random pas jalan,sad,0.56
sabar bohong serius rumah,angry,0.69
bangsat,angry,0.91
pagi ji happy kabar ji rumah senang jaga sehat ya jii jangan sakit sedih yuk main ji,happy,0.02
nenek mak ku orang bicara kadang suka njawab heran banget,angry,0.98
kesal banget serius kantor keluarga,angry,0.89
bingung takut ambil putus pikir rumah,anxious,0.83
tugas selesai lega banget kantor teman kantor,happy,0.22
pikir susah tidur pagi keluarga,anxious,0.74
emosi lihat komentar orang banget kampus,angry,0.7
lolos interview kerja sumpah kampus teman kantor,happy,0.29
tahajud dhuha powernya nder,neutral,0.21
alhamdulillah pagi pagi kabar,happy,0.07
berat banget jalan pikir bareng teman,sad,0.81
sedih banget jujur pagi,sad,0.82
geram banget layan jujur,angry,0.89
besok jadwal meeting rutin jujur pagi,neutral,0.25
tonton youtube kantor,neutral,0.37
anxious banget meeting banget asli kampus,anxious,0.72
cemas pikir pikir malam,anxious,0.79
huwaa anjir kaget senangg banget kakak pulang rumah skskw,happy,0.2
kesal banget orang tidak tepat banget pagi,angry,0.91
makan favorit bikin bahagia,happy,0.13
baca berita santai banget asli bareng teman,neutral,0.33
lelah hadap orang egois banget pagi keluarga,angry,0.77
terus jangan takut,neutral,0.25
senang banget ketemu teman pikir pas jalan,happy,0.2
sedih banget serius bareng teman teman kantor,sad,0.62
yuk sobat pandai jomlo ldr kasih jangan khawatir banget coaching clinic bahas informasi kait tugas ajar izin ajar ehe daftar sobat pandai cek ideas ya,happy,0.03
besok jadwal meeting rutin bareng teman teman kantor,neutral,0.29
habis beres kamar kerja banget malam keluarga,neutral,0.43
geram banget layan coba santai kantor,angry,0.67
malam pikir sedih pikir bareng teman,sad,0.84
terima kasih ya bikin hari malam,happy,0.15
pagi pergi sebentar minimarket,neutral,0.4
takut hasil jelek sumpah pagi,anxious,0.76
tonton youtube keluarga,neutral,0.4
cuaca lumayan panas pikir pagi teman kantor,neutral,0.28
besok jadwal meeting rutin coba santai rumah,neutral,0.26
lelah puas hasil bagus lucu kampus keluarga,happy,0.19
lo kaget sadar,anxious,0.79
minggu seru banget banget rumah teman kantor,happy,0.11
takut hasil jelek ya rumah teman kantor,anxious,0.75
tidak ada spesial ya pagi keluarga,neutral,0.27
kesal banget orang tidak tepat,angry,0.8
gud pagi selamat pagi ceria sehat,happy,0.03
kesal banget pikir kantor,angry,0.77
emosi lihat komentar orang kampus,angry,0.83
cuaca lumayan panas sumpah kantor keluarga,neutral,0.34
takut hasil jelek kampus,anxious,0.92
pagi pergi sebentar minimarket banget asli bareng teman,neutral,0.4
iya ya agx tolol,angry,0.92
banget malam,sad,0.69
bingung takut ambil putus banget teman kantor,anxious,0.7
geram banget layan sumpah pagi teman kantor,angry,0.68
istirahat sebentar pagi,sad,0.84
marah banget kerja beranta ya pagi,angry,0.78
kosong banget pas jalan,sad,0.72
kesal banget orang tidak tepat kantor teman kantor,angry,0.67
susah pindah on jadi pikir,sad,0.63
berat banget jalan ya kantor,sad,0.57
anxious banget meeting bareng teman,anxious,0.77
gugup kantor,anxious,0.82
malas gerak baca malu,sad,0.57
berat banget jalan sumpah kantor,sad,0.61
hilang semangat coba santai rumah,sad,0.63
terima kasih ya bikin hari banget asli bareng teman,happy,0.27
berat banget jalan random kampus,sad,0.6
senang banget ketemu teman bareng teman keluarga,happy,0.2
sedih makan tumph,sad,0.62
gugup lucu pas jalan keluarga,anxious,0.85
halo mohon maaf ketidaknyaman alami perihal pasa menu pesan ya tracking link kirim nomor ponsel whatsapp smsnya,neutral,0.34
tugas selesai lega banget kantor,happy,0.13
lelah hadap orang egois lucu rumah,angry,0.8
cuaca lumayan panas random teman kantor,neutral,0.31
habis beres kamar kerja lucu kantor,neutral,0.44
istirahat sebentar pikir rumah,sad,0.72
sabar bohong banget kampus,angry,0.89
perahu sedia payung sedia tunggu hujan langit mak aji sayang oi,neutral,0.38
tugas selesai lega banget banget teman kantor,happy,0.13
sepi,sad,0.71
senyum pas jadi sumpah rumah,happy,0.16
pikir susah tidur sumpah pas jalan keluarga,anxious,0.93
produktif suasana hati bagus banget asli pagi,happy,0.13
serius kampus keluarga,sad,0.68
marah random pas jalan,angry,0.9
hilang semangat malam,sad,0.61
cemas pikir lucu malam keluarga,anxious,0.85
geram banget layan jujur malam,angry,0.67
habis beres kamar kerja pikir teman kantor,neutral,0.38
susah pindah on jadi banget malam teman kantor,sad,0.61
minggu seru banget pikir bareng teman,happy,0.14
lolos interview kerja pikir pas jalan,happy,0.09
lelah pikir bareng teman,sad,0.6
lelah hadap orang egois pikir pagi keluarga,angry,0.9
sedih banget serius kantor,sad,0.58
sedih banget isi ciba biar tidak kosong,sad,0.52
habis beres kamar kerja bareng teman,neutral,0.24
lelah puas hasil bagus serius bareng teman teman kantor,happy,0.25
geram banget layan pikir pas jalan,angry,0.78
senyum pas jadi random rumah,happy,0.29
terima kasih ya bikin hari pikir kantor,happy,0.17
selesai makan siang sumpah pas jalan,neutral,0.38
minggu seru banget jujur kantor,happy,0.2
takut gagal presentasi besok malam,anxious,0.81
susah pindah on jadi ya rumah,sad,0.75
tugas selesai lega banget ya,happy,0.26
sender jangan sedih sender langsung diketemuin jodoh sender,sad,0.79
emosi lihat komentar orang random rumah teman kantor,angry,0.71
kesal banget pikir pas jalan keluarga,angry,0.9
pikir susah tidur jujur kantor keluarga,anxious,0.94
pagi tidak sengaja ketemu bestie nikah ketemu suka cerita tidak penting mana tidak sengaja bilang tidak bahagia tidak ada laki syok inti nikah tidak cukup,happy,0.14
kecewa banget hasil coba santai rumah teman kantor,sad,0.65
bikin sumpah bareng teman,angry,0.85
pjj pjj sedih tidak ketemu sayang,sad,0.52
duduk dengar musik malam teman kantor,neutral,0.37
tonton youtube coba santai teman kantor,neutral,0.32
takut gagal presentasi besok pikir pagi keluarga,anxious,0.81
sedih banget keluarga,sad,0.85
gugup jujur kantor teman kantor,anxious,0.71
anxious banget meeting malam,anxious,0.87
kabar keluarga pagi sumpah kantor keluarga,happy,0.05
minggu seru banget banget kampus teman kantor,happy,0.28
lolos interview kerja random malam,happy,0.2
kesal banget pikir,angry,0.79
walah semangat bi,happy,0.08
lelah hadap orang egois lucu keluarga,angry,0.72
takut hasil jelek banget malam,anxious,0.92
hilang semangat pikir teman kantor,sad,0.77
hilang member sakit hati,neutral,0.22
tugas selesai lega banget pas jalan,happy,0.26
tidak ada spesial malam,neutral,0.39
takut gagal presentasi besok pas jalan,anxious,0.8
senang banget ketemu teman coba santai pas jalan,happy,0.07
kesal gara gara kelompok,angry,0.95
susah pindah on jadi sumpah pagi keluarga,sad,0.77
anxious banget meeting pikir kantor keluarga,anxious,0.9
hai kak maaf alam ya kait muncul pop up layar handphone saran cek setting cek pesan siar off kendala saran lepas pasang kartu coba ya salam nay,neutral,0.22
gugup random rumah,anxious,0.85
ya sedih,sad,0.68
hilang semangat jujur kantor teman kantor,sad,0.66
semangat on sayang nyemangatin sial idang,angry,0.87
tugas selesai lega banget bareng teman teman kantor,happy,0.27
selesai makan siang pikir teman kantor,neutral,0.33
senang banget ketemu teman coba santai pagi teman kantor,happy,0.11
duduk dengar musik pikir pagi keluarga,neutral,0.37
semangat mass,happy,0.2
lolos interview kerja random pas jalan teman kantor,happy,0.27
suka playvic knpsi sumpah pajamas kesal banget rembet mana ya kayak malam bela bilang solo stan anehh,angry,0.87
senang banget ketemu teman pikir rumah,happy,0.24
takut gagal presentasi besok kampus,anxious,0.73
minggu seru banget ya malam keluarga,happy,0.22
deg degan tunggu hasil umum banget asli pas jalan keluarga,anxious,0.83
tugas selesai lega banget coba santai malam teman kantor,happy,0.26
susah pindah on jadi random pas jalan,sad,0.59
terima kasih ya bikin hari coba santai pas jalan keluarga,happy,0.16
makan favorit bikin bahagia jujur pagi keluarga,happy,0.09
sedih banget jujur kampus keluarga,sad,0.74
sedih,sad,0.77
