clean_text,emotion_label,stress_label
lelah hadap orang egois rumah,angry,0.66
khawatir kondisi banget malam teman kantor,anxious,0.74
kecewa banget hasil jujur keluarga,sad,0.62
senang banget ketemu teman serius kampus keluarga,happy,0.16
khawatir kondisi lucu rumah keluarga,anxious,0.82
cemas ya,anxious,0.87
cuaca lumayan panas pagi teman kantor,neutral,0.27
cuaca lumayan panas kantor,neutral,0.29
tidak ada spesial lucu kampus,neutral,0.38
pikir susah tidur pikir pagi,anxious,0.9
berat banget jalan serius keluarga,sad,0.65
tonton youtube pikir bareng teman,neutral,0.33
marah banget kerja beranta pikir malam,angry,0.91
geram banget layan lucu pas jalan,angry,0.69
sabar bohong random pas jalan teman kantor,angry,0.72
lolos interview kerja pagi,happy,0.26
tugas selesai lega banget ya bareng teman,happy,0.08
kosong pikir bareng teman,sad,0.67
berat banget jalan pikir pas jalan,sad,0.73
hilang semangat ya bareng teman,sad,0.6
makan favorit bikin bahagia ya bareng teman,happy,0.08
lelah hadap orang egois kampus keluarga,angry,0.69
berat banget jalan ya malam keluarga,sad,0.65
deg degan tunggu hasil umum ya,anxious,0.76
tonton youtube banget asli malam keluarga,neutral,0.43
habis beres kamar kerja serius rumah,neutral,0.43
senyum pas jadi pikir malam,happy,0.2
malam pikir sedih pagi teman kantor,sad,0.66
takut gagal presentasi besok coba santai malam teman kantor,anxious,0.91
cuaca lumayan panas banget pagi teman kantor,neutral,0.27
senang banget ketemu teman bareng teman keluarga,happy,0.24
minggu seru banget lucu kantor keluarga,happy,0.23
lelah puas hasil bagus pikir malam keluarga,happy,0.06
pikir susah tidur pikir pagi,anxious,0.87
senang banget ketemu teman pas jalan keluarga,happy,0.17
emosi lihat komentar orang jujur malam keluarga,angry,0.94
kesal banget jujur kantor,angry,0.92
takut gagal presentasi besok rumah,anxious,0.91
ya pagi,sad,0.73
berat banget jalan ya pagi teman kantor,sad,0.63
bingung takut ambil putus kantor,anxious,0.96
pikir susah tidur rumah keluarga,anxious,0.86
sabar bohong coba santai rumah teman kantor,angry,0.79
cemas pikir kantor,anxious,0.86
orang bikin emosi banget bareng teman keluarga,angry,0.84
kesal banget random teman kantor,angry,0.72
tugas selesai lega banget pagi keluarga,happy,0.27
selesai makan siang ya malam,neutral,0.4
lelah banget pas jalan keluarga,sad,0.75
baca berita santai banget bareng teman keluarga,neutral,0.45
produktif suasana hati bagus banget kampus,happy,0.25
susah pindah on jadi coba santai kampus teman kantor,sad,0.61
malam teman kantor,neutral,0.21
senang banget ketemu teman coba santai pagi teman kantor,happy,0.1
besok jadwal meeting rutin serius rumah teman kantor,neutral,0.39
geram banget layan pagi,angry,0.69
kosong serius kantor,sad,0.71
selesai makan siang kampus,neutral,0.32
baca berita santai coba santai rumah,neutral,0.23
pagi pergi sebentar minimarket malam,neutral,0.35
besok jadwal meeting rutin lucu kantor keluarga,neutral,0.32
marah ya malam teman kantor,angry,0.75
makan favorit bikin bahagia kampus keluarga,happy,0.27
tonton youtube pikir teman kantor,neutral,0.35
lolos interview kerja banget pas jalan teman kantor,happy,0.25
lucu pas jalan,sad,0.59
khawatir kondisi random kantor,anxious,0.9
kesal banget malam,angry,0.83
orang bikin emosi banget rumah teman kantor,angry,0.66
senyum pas jadi ya rumah,happy,0.06
marah banget kerja beranta lucu rumah,angry,0.81
gugup sumpah rumah,anxious,0.92
habis beres kamar kerja pas jalan keluarga,neutral,0.36
pagi pergi sebentar minimarket kantor,neutral,0.35
besok jadwal meeting rutin lucu kantor,neutral,0.34
anxious banget meeting ya bareng teman,anxious,0.97
marah banget kerja beranta ya pas jalan,angry,0.9
lolos interview kerja pikir malam,happy,0.17
cemas malam,anxious,0.84
khawatir kondisi ya bareng teman,anxious,0.88
takut gagal presentasi besok jujur rumah,anxious,0.81
besok jadwal meeting rutin pagi,neutral,0.25
marah random malam,angry,0.92
sedih banget pikir rumah,sad,0.58
takut hasil jelek banget kampus keluarga,anxious,0.86
senang banget ketemu teman coba santai keluarga,happy,0.1
duduk dengar musik serius pas jalan,neutral,0.31
besok jadwal meeting rutin ya bareng teman,neutral,0.21
malam pikir sedih bareng teman,sad,0.7
anxious banget meeting lucu keluarga,anxious,0.96
kecewa banget hasil banget asli bareng teman teman kantor,sad,0.69
kecewa banget hasil sumpah malam,sad,0.59
kesal banget serius malam keluarga,angry,0.66
lucu kantor,neutral,0.36
besok jadwal meeting rutin banget asli kampus,neutral,0.31
tugas selesai lega banget banget asli malam,happy,0.14
lolos interview kerja kampus teman kantor,happy,0.3
minggu seru banget coba santai bareng teman keluarga,happy,0.17
terima kasih ya bikin hari pikir malam teman kantor,happy,0.26
lelah puas hasil bagus pikir bareng teman keluarga,happy,0.25
lelah sumpah kantor,sad,0.72
selesai makan siang jujur,neutral,0.44
pikir susah tidur ya pagi teman kantor,anxious,0.78
besok jadwal meeting rutin pagi teman kantor,neutral,0.43
duduk dengar musik serius malam,neutral,0.42
lelah puas hasil bagus banget asli pagi,happy,0.28
malam pikir sedih rumah,sad,0.69
takut hasil jelek lucu kantor,anxious,0.72
sabar bohong banget bareng teman teman kantor,angry,0.93
kabar keluarga pagi sumpah bareng teman keluarga,happy,0.29
kabar keluarga pagi sumpah pas jalan keluarga,happy,0.09
malam pikir sedih lucu,sad,0.75
produktif suasana hati bagus pikir pas jalan,happy,0.18
minggu seru banget coba santai malam keluarga,happy,0.29
produktif suasana hati bagus random rumah keluarga,happy,0.27
geram banget layan banget asli malam,angry,0.68
hilang semangat banget bareng teman,sad,0.77
takut gagal presentasi besok banget asli bareng teman keluarga,anxious,0.79
produktif suasana hati bagus banget asli bareng teman,happy,0.25
pagi pergi sebentar minimarket kantor keluarga,neutral,0.29
istirahat sebentar ya kantor,sad,0.67
sabar bohong sumpah kantor keluarga,angry,0.69
malam pikir sedih pas jalan,sad,0.81
makan favorit bikin bahagia random bareng teman,happy,0.21
bikin banget malam teman kantor,angry,0.92
besok jadwal meeting rutin serius kampus,neutral,0.33
terima kasih ya bikin hari random malam teman kantor,happy,0.25
marah banget kerja beranta sumpah rumah,angry,0.76
marah banget kerja beranta serius rumah teman kantor,angry,0.67
takut gagal presentasi besok pikir teman kantor,anxious,0.95
tonton youtube banget asli rumah,neutral,0.41
produktif suasana hati bagus kampus,happy,0.11
anxious banget meeting pagi keluarga,anxious,0.91
kesal banget keluarga,angry,0.67
bingung takut ambil putus coba santai kantor,anxious,0.8
tugas selesai lega banget kantor,happy,0.13
baca berita santai random rumah keluarga,neutral,0.21
khawatir kondisi banget asli kampus teman kantor,anxious,0.79
bikin ya malam keluarga,angry,0.74
orang bikin emosi banget kampus,angry,0.78
senang banget ketemu teman sumpah kantor keluarga,happy,0.07
terima kasih ya bikin hari random malam,happy,0.16
cemas pikir malam keluarga,anxious,0.93
geram banget layan sumpah kantor,angry,0.66
lelah hadap orang egois serius rumah,angry,0.7
emosi lihat komentar orang pikir pas jalan keluarga,angry,0.92
tidak ada spesial bareng teman keluarga,neutral,0.45
tidak ada spesial random kampus teman kantor,neutral,0.25
anxious banget meeting ya pas jalan teman kantor,anxious,0.91
lelah puas hasil bagus random kantor,happy,0.17
tonton youtube kampus,neutral,0.33
berat banget jalan pikir teman kantor,sad,0.83
gugup pagi keluarga,anxious,0.79
kabar keluarga pagi serius,happy,0.17
senang banget ketemu teman random pas jalan,happy,0.27
senyum pas jadi banget asli kampus teman kantor,happy,0.22
takut hasil jelek banget asli kantor keluarga,anxious,0.82
cemas lucu pas jalan,anxious,0.7
besok jadwal meeting rutin kantor,neutral,0.42
bingung takut ambil putus sumpah kantor teman kantor,anxious,0.91
lolos interview kerja banget pas jalan,happy,0.26
pikir susah tidur random pagi,anxious,0.76
senang banget ketemu teman random kampus,happy,0.14
lolos interview kerja teman kantor,happy,0.21
selesai makan siang pikir pas jalan,neutral,0.41
istirahat sebentar pikir malam,sad,0.73
jujur keluarga,sad,0.82
geram banget layan bareng teman,angry,0.78
terima kasih ya bikin hari rumah,happy,0.1
takut hasil jelek malam,anxious,0.98
deg degan tunggu hasil umum pikir pas jalan keluarga,anxious,0.96
produktif suasana hati bagus coba santai pagi teman kantor,happy,0.3
takut gagal presentasi besok serius malam,anxious,0.75
kecewa banget hasil ya bareng teman,sad,0.8
selesai makan siang pikir bareng teman keluarga,neutral,0.43
coba santai keluarga,sad,0.76
istirahat sebentar banget asli bareng teman,sad,0.73
lolos interview kerja ya pas jalan,happy,0.07
malam pikir sedih bareng teman,sad,0.7
kesal banget random bareng teman keluarga,angry,0.94
senang banget ketemu teman jujur pas jalan,happy,0.09
banget,sad,0.69
produktif suasana hati bagus lucu keluarga,happy,0.26
tonton youtube jujur bareng teman,neutral,0.32
pikir bareng teman teman kantor,sad,0.78
deg degan tunggu hasil umum ya,anxious,0.92
lelah hadap orang egois banget bareng teman,angry,0.9
duduk dengar musik pikir kantor keluarga,neutral,0.36
takut hasil jelek ya pagi teman kantor,anxious,0.97
orang bikin emosi banget banget malam teman kantor,angry,0.8
cemas pikir banget pas jalan,anxious,0.79
lelah hadap orang egois pagi teman kantor,angry,0.74
lelah pikir,sad,0.75
baca berita santai pikir pas jalan,neutral,0.22
besok jadwal meeting rutin banget pagi teman kantor,neutral,0.21
istirahat sebentar,sad,0.79
terima kasih ya bikin hari ya bareng teman teman kantor,happy,0.2
cemas pikir serius kantor,anxious,0.76
duduk dengar musik bareng teman keluarga,neutral,0.23
takut gagal presentasi besok random kampus,anxious,0.76
makan favorit bikin bahagia bareng teman keluarga,happy,0.15
baca berita santai pikir pagi,neutral,0.25
susah pindah on jadi coba santai pas jalan,sad,0.8
senang banget ketemu teman banget bareng teman,happy,0.23
tidak ada spesial rumah keluarga,neutral,0.4
susah pindah on jadi serius kantor keluarga,sad,0.79
lelah puas hasil bagus serius,happy,0.15
khawatir kondisi banget malam,anxious,0.8
cemas pikir jujur bareng teman,anxious,0.76
sedih banget pikir pas jalan keluarga,sad,0.64
khawatir kondisi pagi keluarga,anxious,0.79
sabar bohong jujur malam,angry,0.75
lolos interview kerja banget rumah teman kantor,happy,0.07
marah banget asli kampus,angry,0.9
geram banget layan jujur bareng teman,angry,0.93
tonton youtube serius,neutral,0.4
sabar bohong banget asli bareng teman,angry,0.73
tugas selesai lega banget kampus,happy,0.28
geram banget layan ya pas jalan,angry,0.89
cemas jujur pagi teman kantor,anxious,0.92
anxious banget meeting sumpah kampus,anxious,0.95
kecewa banget hasil ya bareng teman teman kantor,sad,0.82
khawatir kondisi lucu malam,anxious,0.89
takut gagal presentasi besok banget asli malam,anxious,0.91
istirahat sebentar ya pagi keluarga,sad,0.71
marah banget kerja beranta banget asli rumah,angry,0.83
sabar bohong pas jalan teman kantor,angry,0.66
kabar keluarga pagi banget bareng teman,happy,0.1
baca berita santai sumpah pagi,neutral,0.22
tonton youtube banget asli bareng teman,neutral,0.33
pikir susah tidur sumpah rumah,anxious,0.96
terima kasih ya bikin hari pikir kantor,happy,0.13
kampus,sad,0.73
habis beres kamar kerja kampus,neutral,0.32
habis beres kamar kerja serius kampus keluarga,neutral,0.36
besok jadwal meeting rutin banget asli,neutral,0.35
senyum pas jadi kantor teman kantor,happy,0.29
bikin pikir malam teman kantor,angry,0.81
tugas selesai lega banget pikir kampus,happy,0.15
kesal banget rumah,angry,0.65
emosi lihat komentar orang coba santai bareng teman teman kantor,angry,0.76
senyum pas jadi banget bareng teman,happy,0.1
senang banget ketemu teman ya malam,happy,0.06
besok jadwal meeting rutin random pas jalan,neutral,0.39
tonton youtube pas jalan teman kantor,neutral,0.24
minggu seru banget ya pas jalan,happy,0.21
kecewa banget hasil sumpah malam teman kantor,sad,0.64
lelah pas jalan,sad,0.72
sumpah malam,neutral,0.3
khawatir kondisi,anxious,0.89
pikir pagi,sad,0.66
kesal banget orang tidak tepat banget kantor keluarga,angry,0.74
lelah malam keluarga,sad,0.83
marah banget kerja beranta sumpah teman kantor,angry,0.78
berat banget jalan lucu pagi,sad,0.68
makan favorit bikin bahagia ya rumah,happy,0.26
cemas rumah,anxious,0.82
selesai makan siang ya pas jalan,neutral,0.43
malam pikir sedih pagi teman kantor,sad,0.63
kesal banget banget rumah teman kantor,angry,0.72
minggu seru banget rumah keluarga,happy,0.26
pagi pergi sebentar minimarket random pas jalan keluarga,neutral,0.31
malam pikir sedih lucu rumah,sad,0.69
minggu seru banget malam,happy,0.26
lolos interview kerja serius pagi,happy,0.26
kabar keluarga pagi banget bareng teman keluarga,happy,0.21
hilang semangat jujur,sad,0.59
tidak ada spesial kantor,neutral,0.39
khawatir kondisi kantor teman kantor,anxious,0.82
makan favorit bikin bahagia random malam,happy,0.2
duduk dengar musik banget asli kampus keluarga,neutral,0.42
kesal banget jujur pas jalan teman kantor,angry,0.7
produktif suasana hati bagus jujur bareng teman teman kantor,happy,0.25
besok jadwal meeting rutin pikir malam,neutral,0.32
lelah hadap orang egois ya pas jalan teman kantor,angry,0.71
khawatir kondisi pagi,anxious,0.85
susah pindah on jadi banget asli bareng teman teman kantor,sad,0.84
cemas pikir lucu kantor,anxious,0.81
sabar bohong banget asli malam,angry,0.66
emosi lihat komentar orang pikir pas jalan,angry,0.75
geram banget layan pikir pagi,angry,0.82
selesai makan siang banget bareng teman,neutral,0.24
makan favorit bikin bahagia pikir,happy,0.21
khawatir kondisi kantor,anxious,0.79
pagi pergi sebentar minimarket banget asli pagi,neutral,0.22
deg degan tunggu hasil umum lucu bareng teman teman kantor,anxious,0.83
marah banget kerja beranta jujur malam,angry,0.71
produktif suasana hati bagus random malam,happy,0.13
lelah puas hasil bagus kantor,happy,0.18
geram banget layan banget kantor teman kantor,angry,0.66
minggu seru banget random pas jalan teman kantor,happy,0.26
kampus,neutral,0.23
tonton youtube banget asli malam,neutral,0.27
bikin lucu pas jalan,angry,0.67
susah pindah on jadi random pas jalan,sad,0.56
duduk dengar musik coba santai keluarga,neutral,0.33
selesai makan siang pagi,neutral,0.4
pikir susah tidur kantor,anxious,0.9
pikir pas jalan,sad,0.66
selesai makan siang random rumah keluarga,neutral,0.23
hilang semangat banget kantor,sad,0.64
besok jadwal meeting rutin random bareng teman,neutral,0.32
takut gagal presentasi besok pas jalan,anxious,0.87
tonton youtube ya kampus,neutral,0.28
tidak ada spesial lucu rumah teman kantor,neutral,0.42
sedih banget pas jalan teman kantor,sad,0.73
lelah puas hasil bagus kampus,happy,0.29
pikir susah tidur pas jalan,anxious,0.94
duduk dengar musik ya bareng teman,neutral,0.2
malam pikir sedih random keluarga,sad,0.63
marah banget kerja beranta banget pagi,angry,0.79
berat banget jalan serius kampus teman kantor,sad,0.74
orang bikin emosi banget random pas jalan,angry,0.93
tidak ada spesial lucu keluarga,neutral,0.39
produktif suasana hati bagus sumpah pas jalan,happy,0.21
duduk dengar musik ya malam,neutral,0.43
gugup random kampus keluarga,anxious,0.84
pagi pergi sebentar minimarket keluarga,neutral,0.29
susah pindah on jadi banget malam,sad,0.78
duduk dengar musik banget asli bareng teman teman kantor,neutral,0.34
anxious banget meeting jujur kampus keluarga,anxious,0.95
lelah jujur kampus,sad,0.56
terima kasih ya bikin hari banget pagi keluarga,happy,0.07
marah banget kerja beranta bareng teman teman kantor,angry,0.93
tidak ada spesial sumpah kantor,neutral,0.32
hilang semangat random pagi,sad,0.81
duduk dengar musik pikir keluarga,neutral,0.41
produktif suasana hati bagus jujur kampus teman kantor,happy,0.11
lelah malam teman kantor,sad,0.66
selesai makan siang serius bareng teman,neutral,0.33
tonton youtube serius pagi,neutral,0.38
tonton youtube serius kantor,neutral,0.33
orang bikin emosi banget jujur kantor teman kantor,angry,0.85
tidak ada spesial banget bareng teman,neutral,0.26
senang banget ketemu teman pikir kantor,happy,0.15
hilang semangat serius rumah,sad,0.65
emosi lihat komentar orang jujur kantor,angry,0.9
khawatir kondisi pikir kampus,anxious,0.76
orang bikin emosi banget random kampus teman kantor,angry,0.7
kecewa banget hasil random rumah,sad,0.59
tidak ada spesial jujur kampus teman kantor,neutral,0.39
senang banget ketemu teman banget asli kampus,happy,0.18
bikin jujur pas jalan,angry,0.95
lelah random bareng teman keluarga,sad,0.69
anxious banget meeting banget malam keluarga,anxious,0.9
malam pikir sedih banget malam,sad,0.8
kecewa banget hasil lucu kampus,sad,0.75
istirahat sebentar pikir kampus keluarga,sad,0.79
kesal banget orang tidak tepat malam,angry,0.81
makan favorit bikin bahagia serius bareng teman,happy,0.17
takut gagal presentasi besok malam keluarga,anxious,0.97
marah,angry,0.93
cemas banget asli pas jalan,anxious,0.94
anxious banget meeting malam,anxious,0.97
tidak ada spesial pagi,neutral,0.31
anxious banget meeting pagi,anxious,0.81
terima kasih ya bikin hari pikir kampus,happy,0.08
deg degan tunggu hasil umum banget asli bareng teman,anxious,0.87
kabar keluarga pagi lucu pagi,happy,0.1
kosong pas jalan,sad,0.77
senang banget ketemu teman ya bareng teman keluarga,happy,0.16
gugup pikir kantor,anxious,0.71
coba santai malam teman kantor,sad,0.67
kesal banget banget kampus,angry,0.91
sedih banget pikir rumah,sad,0.72
cemas pikir sumpah malam keluarga,anxious,0.72
bingung takut ambil putus lucu,anxious,0.81
minggu seru banget jujur kantor teman kantor,happy,0.17
lelah lucu malam,sad,0.69
susah pindah on jadi banget asli bareng teman,sad,0.73
anxious banget meeting jujur,anxious,0.83
susah pindah on jadi pikir pas jalan,sad,0.58
lolos interview kerja jujur,happy,0.15
cuaca lumayan panas bareng teman,neutral,0.4
gugup random bareng teman keluarga,anxious,0.75
besok jadwal meeting rutin coba santai kantor,neutral,0.3
kesal banget orang tidak tepat keluarga,angry,0.89
kosong pikir kampus,sad,0.78
lolos interview kerja pikir pas jalan keluarga,happy,0.25
orang bikin emosi banget jujur pagi,angry,0.76
lelah puas hasil bagus kampus,happy,0.27
selesai makan siang ya,neutral,0.25
lelah hadap orang egois,angry,0.86
marah banget kerja beranta random rumah teman kantor,angry,0.91
makan favorit bikin bahagia lucu kantor teman kantor,happy,0.13
bingung takut ambil putus pagi,anxious,0.91
bingung takut ambil putus random kantor keluarga,anxious,0.89
senyum pas jadi jujur pas jalan,happy,0.18
geram banget layan jujur bareng teman,angry,0.92
kesal banget orang tidak tepat coba santai bareng teman teman kantor,angry,0.7
senang banget ketemu teman pikir pagi,happy,0.19
sedih banget serius pas jalan,sad,0.75
lolos interview kerja pikir bareng teman,happy,0.07
lelah puas hasil bagus pikir rumah,happy,0.27
khawatir kondisi sumpah pas jalan,anxious,0.97
cemas random kampus,anxious,0.74
minggu seru banget malam,happy,0.26
marah sumpah bareng teman teman kantor,angry,0.76
orang bikin emosi banget rumah teman kantor,angry,0.74
gugup keluarga,anxious,0.73
pagi pergi sebentar minimarket jujur rumah keluarga,neutral,0.4
sabar bohong banget asli kantor,angry,0.89
khawatir kondisi random rumah,anxious,0.71
makan favorit bikin bahagia pagi,happy,0.28
lelah puas hasil bagus ya bareng teman,happy,0.12
baca berita santai jujur pagi keluarga,neutral,0.24
terima kasih ya bikin hari serius malam,happy,0.15
kabar keluarga pagi rumah,happy,0.25
lelah random bareng teman keluarga,sad,0.6
kabar keluarga pagi ya rumah keluarga,happy,0.17
istirahat sebentar coba santai keluarga,sad,0.61
pagi pergi sebentar minimarket random pas jalan teman kantor,neutral,0.35
sedih banget banget bareng teman,sad,0.73
pikir susah tidur banget rumah teman kantor,anxious,0.88
bingung takut ambil putus bareng teman,anxious,0.89
lolos interview kerja pikir kampus,happy,0.17
hilang semangat banget asli pas jalan,sad,0.62
rumah,neutral,0.45
cemas pikir banget kampus,anxious,0.97
kecewa banget hasil banget asli kantor teman kantor,sad,0.7
orang bikin emosi banget sumpah rumah,angry,0.65
habis beres kamar kerja coba santai bareng teman,neutral,0.25
coba santai bareng teman,sad,0.83
marah banget asli kampus,angry,0.69
banget bareng teman,sad,0.6
kabar keluarga pagi banget asli bareng teman,happy,0.14
lelah jujur teman kantor,sad,0.82
lolos interview kerja banget pagi keluarga,happy,0.26
lelah puas hasil bagus sumpah pagi keluarga,happy,0.27
tonton youtube jujur keluarga,neutral,0.34
minggu seru banget pikir kampus,happy,0.09
orang bikin emosi banget kantor,angry,0.82
terima kasih ya bikin hari pas jalan,happy,0.12
marah banget kerja beranta banget asli malam,angry,0.72
khawatir kondisi lucu rumah,anxious,0.87
orang bikin emosi banget pikir,angry,0.92
bingung takut ambil putus jujur kantor,anxious,0.91
sabar bohong banget asli kampus,angry,0.7
gugup random rumah,anxious,0.73
pikir susah tidur malam,anxious,0.96
lelah banget asli bareng teman,sad,0.59
terima kasih ya bikin hari serius pagi keluarga,happy,0.17
lolos interview kerja pas jalan,happy,0.19
gugup pikir kampus teman kantor,anxious,0.95
sabar bohong banget asli pas jalan,angry,0.93
kabar keluarga pagi kampus,happy,0.12
baca berita santai kampus,neutral,0.36
hilang semangat rumah teman kantor,sad,0.68
cuaca lumayan panas serius kampus,neutral,0.43
kecewa banget hasil ya pas jalan keluarga,sad,0.55
kabar keluarga pagi sumpah pas jalan keluarga,happy,0.17
lelah malam teman kantor,sad,0.59
cemas serius kampus keluarga,anxious,0.71
bikin banget kantor teman kantor,angry,0.68
susah pindah on jadi coba santai kantor,sad,0.84
lelah hadap orang egois serius kampus keluarga,angry,0.94
sedih banget malam,sad,0.78
pagi teman kantor,neutral,0.28
marah jujur rumah,angry,0.74
kecewa banget hasil jujur rumah,sad,0.64
bikin ya kantor,angry,0.93
terima kasih ya bikin hari pikir pagi,happy,0.17
kesal banget random kantor keluarga,angry,0.67
senyum pas jadi random pagi,happy,0.22
senyum pas jadi serius rumah keluarga,happy,0.14
pikir susah tidur coba santai malam teman kantor,anxious,0.86
lelah hadap orang egois banget malam teman kantor,angry,0.82
baca berita santai coba santai,neutral,0.42
bikin pikir malam,angry,0.74
tugas selesai lega banget jujur rumah teman kantor,happy,0.15
lelah banget asli pas jalan teman kantor,sad,0.68
takut hasil jelek pikir kampus,anxious,0.7
takut gagal presentasi besok pikir bareng teman,anxious,0.95
marah bareng teman,angry,0.67
berat banget jalan banget asli malam,sad,0.82
malam pikir sedih serius kantor,sad,0.67
takut gagal presentasi besok pikir malam,anxious,0.77
pikir susah tidur ya pagi,anxious,0.91
rumah keluarga,neutral,0.34
sedih banget lucu bareng teman,sad,0.76
kosong pagi,sad,0.6
marah banget kerja beranta coba santai teman kantor,angry,0.78
marah banget kerja beranta sumpah kantor,angry,0.71
banget asli malam,neutral,0.28
orang bikin emosi banget pikir,angry,0.81
lelah jujur kampus keluarga,sad,0.56
tidak ada spesial banget asli kantor,neutral,0.44
cuaca lumayan panas malam,neutral,0.35
kabar keluarga pagi banget pas jalan,happy,0.05
kesal banget orang tidak tepat banget rumah teman kantor,angry,0.76
produktif suasana hati bagus pas jalan teman kantor,happy,0.24
kesal banget serius,angry,0.93
geram banget layan jujur keluarga,angry,0.71
hilang semangat serius bareng teman,sad,0.7
lelah hadap orang egois ya pagi,angry,0.86
kabar keluarga pagi pagi,happy,0.18
selesai makan siang sumpah pas jalan,neutral,0.27
minggu seru banget serius kampus,happy,0.27
gugup random keluarga,anxious,0.77
bingung takut ambil putus pikir pas jalan,anxious,0.78
