clean_text,emotion_label,stress_label
baca lucu marah uang rakyat dikorupsibagaimana investor investasi uang makan jabat ace golkar ajar agus harimurti yudhoyono kuda hitam penting strategi,neutral,0.27
wikipedia reminder moa yuk biasa buka wikipedia txt minimal kali ari sosial rate ubah mode desktop scroll aca menit,neutral,0.32
selamat,happy,0.03
tahu cari cari bar,neutral,0.21
ih kaget comback ih ya ampun hiatus,anxious,0.86
kuat banget nder semangat ya,happy,0.16
tidak suka banget ujung kayak banding kerja keras orang kayak anjir orang kerja keras bisa,angry,0.85
mas put sakit jaga sehat jangan lupa bahagia bahagia obat sakit cepat sembuh ya mas,happy,0.16
semangat isah,happy,0.19
khawatir tidak jelas,anxious,0.76
guyss tolong banget bantu ramein saldo dipinned ya sepi banget entriesnya tidak community hasil bagus moga depan bawain saldo nominal tolong banget join ya,neutral,0.31
sadap marah ups,angry,0.9
enak mie ayam yamin,happy,0.16
happy birthday sedih season maybe tiada hadiah silverware club epl sah tinggal ucl je tinggal itu,sad,0.6
drop sepi hampa tidak guna,sad,0.74
himalaya enak banget repurchase kali huhu,happy,0.09
enak banget lagu hivi huhu,happy,0.01
jangan terlalu pikir pikir penting mu tuju sisa lupa,neutral,0.3
ketemu aku suka banget muse oh suka muse suka lagu muse supermassive starlight mas pergi,angry,0.92
open ya lucu yuk order banget langsung direct message wa have nice day guys,neutral,0.33
ginituh deg degan takut ketemu adek pengap cepat cepat tidur telentang tengkurep,anxious,0.87
jangan jadi orang tolol anjing orang tau salah orang tau sampah bajing jangan harap belas kasih orang kecewain,angry,0.98
grup takut ya allah,anxious,0.71
iya semangat sabtuu,happy,0.08
besok suruh acara keluarga puncak badan tidak enak salah saudara gejala covid tidak mau periksa bilang biar tidak usah eh suruh pakai masker double sebal banget,angry,0.97
cacat lucu,happy,0.12
bentar ya riin rumah sepi langsung pergi,neutral,0.28
sedih lega jelas bukan announcement langsung agency good luck mm we always support no matter happens,sad,0.69
kaget ramai banget twtnya kira anjir,anxious,0.84
jarina hasebe hobi ngomel marah marah,angry,0.94
warganet goblok banget bahas bola bahas lazio tidak di roma pintar jelas tidak paham diam jangan norak bilang lazio kota prancis protes tidak apa tolol,angry,0.9
benar jangan dengar canda santai terima treat your partner jangan kecil hati,neutral,0.31
ya,neutral,0.24
pas pulang antar kak yer bilang kak yer kak yer kantor banget suka kakak ajak lunch bareng orang pas pekan bareng ya tidak tanggap malas,neutral,0.23
tolol coba agama tuhan tidak beri hukum cerai nikah anggap zinah goblok kristen tolol tolol monyet tidak sembah monyet manusia kasih akal sembah manusia,angry,0.94
benci anggap enteng apa tugas gildarts,neutral,0.29
takut arab puncak,anxious,0.9
bangun tidur lihat fan mu marah marah tau aduh,angry,0.88
kadang suka lelah ngehunter suka bosan gue gak tau asa pas ngehunter kayak beda banget kayak nenggebu gebu semangat erti tidak kayak malas banget tidak ada semangat,neutral,0.29
suka tresno puja dukung anies ganjar tidak pernah goyah sedikit walao kabar negativ terpa,neutral,0.35
walah roomnya pakai ya kira end,neutral,0.23
bang koi suka komen korea pop plostak plastik plostak plastik kasih kerja orang ya,neutral,0.24
ya ragu mending tidak usah,anxious,0.86
oi mangkuk ph harga ayam lat tesco bahalol untungla kontol bodoh free,angry,0.85
jangan toleh belakang lihat coba baik ubah nasib,neutral,0.2
pagi cerah ku market ku hijau hijau,happy,0.13
dunia perang dunia hidup halu parah mbak mbak mending urus keluarga harta harga keluarga mbok biar orang cari bahagia ganggu,neutral,0.28
tani mbah tonton pulang sekolah libur siang mbah tonton serius banget nyimaknya lucu suka bercandain ganta ganti channel pas scene naga terbang tertawa banget,happy,0.18
tau malu lucu,happy,0.07
mantap banget enak cokk,happy,0.15
ket tidak takut kuliah hukum kah ket,anxious,0.83
jangan sampai rakyat benci,angry,0.89
iya ya agx tolol,angry,0.92
iya sakit banget susah makan suka suapin mama tidur tani papa,sad,0.66
mesti cristiano ronaldo muram durja birthday,sad,0.75
milet kayak suara outstanding banget tambah alun piano hayato sumino,neutral,0.37
jangan takut jarak jarak temu,neutral,0.24
bahagia banget jimin info sehat rumah sakit stay alive will be release alhamdulillahh serakah tidak sih foto ot,happy,0.12
ih takut banget loch lucu makasyii,happy,0.14
kaget langsung,anxious,0.86
ayo semangat ayo,happy,0.01
isin tidak kisen malu perut tidak akan isi kerja halal jangan malu malu malu hambat rejekimu sekian terima kasih,neutral,0.37
biasala pagi pagi rampus mask pon punca marah nak rembat mask putih walhal pergi kerja,neutral,0.24
heran bilang funny tau normal kah salah satu tidak nyaman sial banget pakai bahas oh dasar hater fan bangkai pagi bikin darah,angry,0.98
pensil warna ketemu tidak yakin takut rusak gambar,anxious,0.75
jangan pernah rendah,neutral,0.38
ah tidak enak,neutral,0.31
rancang undang undang tentang kayak ah muaythai biar lindung,neutral,0.23
mandi air hangat pakai garam enak ya langsung freshh badan,happy,0.02
kaca enak turut coba versi kemas kotak,neutral,0.27
tapi asah oh iya asah orang ngawi nghokey,happy,0.0
halo pahar samandiai kabar gembira jago badminton kalimantan gas skuy ramai rebut piala kepala bnnp kalimantan turnamen badminton kalimantan rangka ulang badan narkotika nasional ri,happy,0.13
malu begitu,anxious,0.9
jumat tes ag hasil negatif santai senin sidang offline ketemu orang malam selasa ngurung kamar rabu sore pergi rumah teman ambil barang banget pulang malam lucu,neutral,0.21
oh pahamm kaget iya bunda,anxious,0.73
prioritas utama kazuha tidak ada kabar,neutral,0.31
kakak sayang sembuh alhamdulillah jimin menang weh trauma notifikasi wvtp alhamdulillah kabar,happy,0.02
nak sniff hati hati takut kepam,anxious,0.81
negara taiwan joss kedelai minyak goreng biji matahari minyak goreng bunga warna kuning emas minyak goreng indonesia kayak raya bahan baku langka minyak goreng stop goreng goreng rebus masak,neutral,0.31
takut kecewa kasihan,anxious,0.73
men si tim lolos ragu md well we are the best at that,anxious,0.84
marah gampang marah kadar marah pas tuju sulit aristoteles,neutral,0.25
tolol fenss,angry,0.88
orang muka murung fix fan mu,neutral,0.3
gue hyung jangan jangan marah,neutral,0.2
gmnasi teman kelas acak jujur pas tidak semangat kayak keluh pendem bingung kadang sedih bawa menang,sad,0.55
banget cancel culture benar ala sjw zaman tahap sangat jijik tidak beda orang orang jalan suka main hakim bikin nyawa orang layang,angry,0.88
kelisa marah asap hidung,angry,0.97
bangun langsung sambut kabar tenang,happy,0.06
mana mana tau mana sedih tidak ada mana,sad,0.63
sedih,sad,0.67
bahagia kecewa,sad,0.72
manusia patut benci tau salah kepada,neutral,0.3
centi banget bangsat,angry,0.9
aduh bangsat ganteng banget orang,angry,0.93
tolol tidak akan ulang,angry,0.88
janji dedak bodoh bodoh,angry,0.87
semangat kakak,happy,0.16
kemarin lucu hihi lucu hihi pas simpan permanen portal error ajxbsggxhsb panik kali kesal,angry,0.93
emosi og,angry,0.91
sehat nikmat yuk gerak biar sehat,neutral,0.3
enemy loversnya bukan yang oh my god benci gara gara bantu degdegan tidak buruk gue benci mati ngehidupin bunuh tangan,angry,0.86
parfume tidak ada enak aroma,happy,0.02
niat kuat iya balas dendam cheong san,neutral,0.34
anjing kaget gue,anxious,0.72
support enak combo ayaka,neutral,0.39
short au leejeno end bikin emosi,angry,0.94
langit tau sedih turun,sad,0.62
hi kak langit mantap ya kak semangat wfh kak moga sehat diar,happy,0.08
sedih mulu,sad,0.74
ya allah salah fokus tempat pulang sedih kayari tau rumah ya,sad,0.75
maria vania perhati fashion olahraga jetski main tenis golf,happy,0.0
semangat nona,happy,0.09
ha serius out gue tidak ikut sn gue tau sedih out,sad,0.53
yuk semangat yuk,happy,0.11
kabar sabtu pagi alhamdulillah,happy,0.07
jangan marah,angry,0.96
semangat uprak kakak,happy,0.14
hai teman tidak min jujur twit seru banget seliwer lini suka lihat telat tidak sih min tawar,happy,0.04
sedih banget dengar,sad,0.57
putus pamit rest tau kabar suruh keep private tau sindir mulu diam diam anjing apa diam main qrt ajang jelek,angry,0.9
atuh musim tidak itu radang tidak apa makan buah an sembuh kemarin huhu,neutral,0.27
tonton reviewnya bilang scene tidak bisa klimaks tidak rasa problem kebal mati lucu gue,neutral,0.32
terkadang situ sedih,sad,0.7
selamat pagi semangat nge ba moga request direct message,happy,0.05
kesal sedih alias kecewa bro semangat wts loyo,sad,0.67
weh tugas kaget banget ramai,anxious,0.78
suka tidak suka suka panggil lucu akrab kasih mbah orang tua tidak terlalu suka pasar banget temu nama putri lucu,neutral,0.3
sedih banget dah kucing gue lepas ya pulang tidak suka main rumah,sad,0.61
banyak follow takut limit,anxious,0.88
selamat pagi semangat,happy,0.04
ya allah tidak ekskul gara gara tidak bangun sedih,sad,0.71
marah orang tidak bisa habis bangun tidur marah hilang,neutral,0.33
aneh orang cinta kadang kadar bego tingkat maaf sender jujur bego,angry,0.94
arrgh pagi pagi emosi,angry,0.98
hobi kaget jengkel,angry,0.86
gembira,happy,0.18
ikut pimpin pesantren cabul bikin opini tolol,angry,0.94
bodoh,angry,0.94
semangat nugasnya fanyaa,happy,0.16
selamat pagi teh kabar pagi moga tuhan sehat limpah rejeqi,neutral,0.24
weh semangat onad sarap lums lums sarap ya have nice day stay healthy,happy,0.08
amin selamat pagi kak sedih hasil draw tidak ada,sad,0.78
tuhan tiada tinggal tiada benci kepada qs aduh dhuhaa juang terap syariat allaahu akbar,neutral,0.21
takut bawa teman enggak bantu,anxious,0.86
budi pekerti islam sangat dasar letak toleransi hidup sosial allah cipta manusia umat allah jangan saling menggangu hina campur urus dapur agama,neutral,0.39
pakai tolong sedia tunggu sedih banget,sad,0.74
kesal keluarga lihat kayak masalah tidak ada banding malu semangat ya teman something talk yuk direct message an,happy,0.18
suka nder habis pakai makeup kecewa putus kotor sensasi geli gadapet,sad,0.79
beyb sabtu ramai tidak ya by the way semangat ya moga laris manis,happy,0.07
tidak paham global takut editor,anxious,0.72
hujan awet ih takut banjir,anxious,0.84
sedih banget dengar kabar denise bias sc suara cakap banget ampun tidak apa apa baik wish can hear your suara again,sad,0.61
sedih terima kasih denise keras moga uri mm maknae lockey sukses ya berkarir tunggu karya denise musik denise suka album ya,sad,0.66
sepi hampir ku sandiwara,neutral,0.39
jangan marah marah,neutral,0.4
mati tidak deng bukan mati pindah on bawa asa tidak bawa asa bawa asa tinggi jatuh tidak rasa sedih,neutral,0.22
emosy cowok suka mang cewek mobil alam cewek ya cewek bukan target pasar cewek mana ojek online bro,angry,0.99
benci salah rasa chel,neutral,0.27
pagi jangan marah bunda,angry,0.95
bodoh orang,neutral,0.22
pemipin ide bukan beri ide terus setir jangka indonesia super power rakyat makmur gampang kunci hukum koruptor hutang exploitasi sumber alam sanggup,happy,0.13
posisi kayak sender gue lihat linenya tidak semua orang tau line nder bilang maaf gue,neutral,0.36
stretching laku child pose cobra pose detik,neutral,0.2
pagi pagi rusak suasana hati thial nak orang tolong payah marah marah elok orang ikhlas paksa alah,angry,0.89
bagus minat baca suka ing sumber banyak bahasa inggris malas hafal benci banget banyak teori masuk nal teori teori tokoh tokoh psi,neutral,0.22
jangan sedih karina,sad,0.71
check out takut tidak kretek tulang punggung dilema muda mud jompo lucu,anxious,0.83
pikir bikin rasa susah cari alat bayi pakai sebentar lihat kondisi daerah tidak mungkin sepi jasa sewa ragu,anxious,0.78
dengar abang abang umur piala fa adek gagal tidak apa semangat jalan abang pesan jangan kayak kayu hijau ya,neutral,0.36
libur fict maitake sepi duniaa arghh,sad,0.69
sedih budush adek orang mu mende ahok lepas sakit,sad,0.59
coba hari puasa gosip tidak bicara orang,angry,0.86
padang enak,happy,0.03
tidaak lucu,neutral,0.38
telat line au memorable lupa structure kalimat spesifik bukan karena tegang sayang tidak telat tell me anytime amd ll still listen,neutral,0.33
semangat gue ya,happy,0.03
tidak apa reyon marah lucu lary dapur,neutral,0.28
avail besok tanggal bukan hantu suka ghosting suka cari takut hilang vibes bilang om om segi dewasa jokesnya tambah selera humor rendah ya lucu saya,neutral,0.33
enak banget ngudud pagi pagi,happy,0.14
kakak senang banget bangun kabar,happy,0.0
banget salah ketik ya allah salah ketik suka tidak sadar salah ketik jalan ninjaku,anxious,0.73
tidak ada niat gaji ya sedih isip,sad,0.59
bahagia ketemu pacarkuu,happy,0.17
manfaat marine collagen jelas collagen klik,neutral,0.36
ronaldo tidak usah sedih kayak parah,neutral,0.38
bisa mark tidak calling marah,angry,0.88
senang susah menang hati,happy,0.19
salah formal informal alami kali musibah tidak bantu tai jarah diberikn rampok vulgar tidak pakai pikir sedih orang,neutral,0.22
lucu bangga banget nebak jeongwoo ragu bahu suara jeongwoo,happy,0.18
ajar banget manusia sebar id tele gerak cepat anonymous chat ngcht orang sange tolol,angry,0.88
semangat ya tidak apa lelah cemas jam tidur kurang senang orang bagus bagus senang okaayy,happy,0.04
habis pup pas pagi pagi enak banget tidak sih perut langsing,happy,0.16
sume rakyat bodoh pilih orang susah rakyat watpe melayu isle hanggok hang,angry,0.9
hai kabar,neutral,0.28
diam baik hadap orang bodoh,angry,0.9
serah bodoh tidak suka benci kesal hilang,angry,0.85
suka marah marah,angry,0.96
marah puncak remeh marah orang lemah hindar gambar prajurit desersi lari tinggal tugas dunia militer perilaku desersi sangat hina,neutral,0.34
pagi kecewa banget gojek kode kupon tidak bisa klaim alamat dititikin banget jakarta barat lucu gue gila gosend tidak sampai ribu ribu,angry,0.96
coba pagi siang sore malam jam subuh tidak bisa panik,anxious,0.86
selamat pagi,neutral,0.3
bedsheet beli queen je pakai katil raja guane,neutral,0.3
umpama serasi merah cinta marah simboliknya biru setia makna laksana sejuk mata rai beda diri coret tiada makna merungkai pikir manusia,neutral,0.32
sakit sat ku orang bodoh hasil engkau tipu orang,sad,0.71
kadang sedih orang diampet dewe mumet dewe,sad,0.56
laku henti pura pura olah hati bukan baja,neutral,0.34
jimin sembuhjimin aktivitas hari,neutral,0.3
cewek tidak mau ngecewain cowok tau dikecewain orang sayang tidak enak sakit banget,sad,0.7
sepi ya,neutral,0.29
habis vaksin dosis badan suka gampang banget lelah,sad,0.78
takut ya ndoro ngebet calon presiden ajur ajur tidak mending urus banjir ndoro,anxious,0.86
iya anjrott jangan jangan dendam ya,angry,0.86
ra emosi weruh koe reply hawane ngamok,angry,0.91
tidak ngestan sn sedih denise out grup moga sukses depan denise,sad,0.76
abdi puji,neutral,0.34
alhamdulillah jimin sembuh covid senang banget pas kabar jimin sembuh,happy,0.15
geleng heran dengar canda gori tanggap santai tidak puas jajanin es krim hari hari joshua bersih dada gori teliti,neutral,0.21
gara gara tidur panik akun ltmpt panik jurus kuliah,anxious,0.79
suka kuat ya everything is flowing and we feel happy kena impostor sindrom tidak pada banget cari tau kuat,neutral,0.38
alhamdulillah kabar jimiinn,happy,0.09
semangat kak,happy,0.11
kerja jababeka kak rumah cengkareng pas kereta listrik kontra flow sepi,neutral,0.28
iya sedih banget tunggu comeback sn,sad,0.64
ya iya masak tidak takut bobrok bongkar adil,anxious,0.77
tonton ulang video got step back dance practice video musik taeyon elegan banget pindah pinggir pas lihat seulgi buset pindah lari pojok kanan khawatir kesandung,anxious,0.89
semangat sayang,happy,0.2
teman marah marah fan mu,neutral,0.36
perkara,neutral,0.29
marah,angry,0.89
takut banget suka orang huhu,anxious,0.86
kongkalikong enak beliau juara,happy,0.04
iya goreng nanas tepung enak banget,happy,0.15
acc natural killer takut orang marah,neutral,0.24
aku bego ajak tidak nder anggap adik anak doang,angry,0.93
happy milad ya uni ku insya allah umur sehat selamat bahagia dunia akhirat uni keluarga semangat uni ku juang bela rakyat jelata,happy,0.05
hyper bawa manusia nafsu hyper gaul istri penuh kasih sayang laku wajib suami tidak masuk tanya hyper gaul kasih sayang tidak masuk,neutral,0.28
iya takut,anxious,0.79
kadang suka sepi beda sepi hilang asa asing banget,sad,0.56
malas banget message suka tarik iss hidup,angry,0.9
takut ah begitu cari perhati jelek orang biar pandang oke,anxious,0.87
jangan khawatir boy gagal penalti kompetisi lucu hihi piala fa santai boy babang ronaldo,happy,0.16
ahok nyata pro rakyat benci,angry,0.93
takut,anxious,0.74
moga hari indah langit cerah,happy,0.06
sendiri mabuk biar tidak panik,anxious,0.78
sedih banget liatnyaa ikut menang,sad,0.53
bangsat ntarnta menang lucu kecut nada tolol mati,angry,0.99
tidak malu tidak tau malu,anxious,0.9
energi latih pikir kritis mandiri mlintira cari benar asupan gizi wawas tahu nasihat jangan batas rugi kadang sangat bisa salah,neutral,0.26
puas,happy,0.02
kampret kakak nyese vaksin tau badan enak sok an alhasil sakit benar,angry,0.99
kompak niyee kaget heran geram tidak asing telinga,anxious,0.88
enak,happy,0.11
tapa balas dendam tidak bisa lets give try hshsjsksk fevereverie soon guess,neutral,0.26
tidak galak tidak pernah marah,neutral,0.36
good pagi semangat semangat pokok semangat cari rezeki,happy,0.06
hai pagi selamat pekan semangat,happy,0.01
amin semangat jelly,happy,0.16
alhamdulillah pagi kabar,happy,0.14
mu third last nike size xl excellent bobles detail sila wa,neutral,0.29
sedih banget,sad,0.77
multi talenan tutup malas tidak lihat bakat,neutral,0.3
lulus ilpidipi negeri bilang tidak perlu indonesia abdi,neutral,0.3
enak lagu,happy,0.18
ayam penyet sambal hijau kak enak nguantri banget,neutral,0.28
tidak semangat hidup,sad,0.71
tidak ada kabar,neutral,0.35
teman bilang suka youngk kasih tau day tau day membernya tidak tau kecuali jae youngk dengar lagu day were cantik racun suara youngk eh,neutral,0.21
kecewa desain ayangto beda banget fanart,sad,0.77
situng ralat sedih tegang,anxious,0.82
cinta bendera merah putih cinta negara indonesia situ tidak suka bendera indonesia rongrong ogah kerja berani bicara tidak usah sembunyi kecut,angry,0.88
bukan lebih sangar turut goblok bin tolol ingat baik acuh,angry,1.0
ku cerita sadar tidak dekat temu bincang enggan laku ku ingat he just your friend not more,neutral,0.21
langsung melek bangsat,angry,0.99
sub unit foto member biar ramai lucu cbx me sc me solo sepi banget dua doang syukur salah member seng exo xixiixizi,happy,0.06
marah omong pedas banget suka banting barang dekat,anxious,0.73
srs nak main member lucu takut nak mintak,anxious,0.71
cewek bego contoh guna tiktok bego dna,angry,0.9
ku bantu benar nder,neutral,0.21
takut banget,anxious,0.89
karunia kerja usaha instansi swasta perintah karyawan atas kerja bawa berkah buku wawas cerah bahagia,neutral,0.24
iya anjir lucu tertawa kayak sakura an benci tonton tidak anehh mending villain hakikat musuh bukan villain anjir chara development imo benci banyak kaum an biar kata keren lucu,happy,0.01
bangsat,angry,0.92
kaule dados bruder digodha nben tidak lepas jubahe semangat om brud,happy,0.16
dear baca just know maaf hadap mental tidak stabil tidak bisa kontrol asa self harm keluh but really akan tau laluin sedih tau kesal,sad,0.69
absen emosi sidik jari baca,angry,0.95
notifikasi pantau sepi,neutral,0.38
sedih ppg,sad,0.72
ngebias jaman suka band soloist aktor sadar habis duit banget ya kayak tidak perosok,sad,0.74
sepi bikin dingin sepi eakk,sad,0.53
teel sepi sepi,sad,0.66
anjing simon chio suka ibel takut jatuh cinta ibel salah kayak simon,angry,0.91
pendiem banget oversharing kadang suka tidak kontrol sesal cerita takut,anxious,0.79
mumpung sedih habis baca unspeakable mari biar sedih,sad,0.6
another level of lockey sedih tertawa wkakwkk,happy,0.2
lini sepi sapu lini,neutral,0.3
ateis puja fol gas coba rinci ateis tidak abal pakar ateis tidak bisa maki cewek bego kayak,sad,0.6
kemarin gramed bocah cilik disuapin mamak makan promina enak banget aduh,happy,0.14
awan dendam gue ngomong wan,angry,0.86
hidup pilih apa buat sedih tinggal apa buat senyum tahan,neutral,0.31
ih tolol,angry,0.98
moga hasil negatif ya kak sha semangat,happy,0.03
ih enak banget kakak,happy,0.13
play both suka the electric one amp rusak tidak main tmi when was band play the keyboard though oh dua baca your letter artnya bagus banget,happy,0.08
jepang sgp takut gila,anxious,0.88
berita palsu jangan sebar tindak ambil,anxious,0.74
my biggest salah utbk kemarin putus asa khawatir tidak lolos bikin tidak fokus tidak enjoy ya khawatir benar kemarin lucu semangat kirim ya,happy,0.16
ayah larang anak istri jengkel also ayah jengkel nada omong ketus banting pintu taruh barang kasar,angry,0.94
tidak enak,sad,0.79
sek pagi emosi tidak bisa login,angry,0.98
jangan jari shamming nder kasihan sedih tidak mau bilang jelek aneh teman mu,neutral,0.4
single tidak ada suka nyaman cinta,neutral,0.34
agan agan coba pempek kapal selam joeragan ikan tenggiri segar enak,happy,0.05
puji tuhan kabar jimin sembuh covid tinggal proses pulih habis operasi jaga sehat istirahat ya,happy,0.06
malam habis tonton dew dew remake bungee jumping of their own korea tonton versi korea putus tonton versi thailand sedih main ohm pawat benar sedih suka versi thailand versi koreanya,sad,0.66
beneren bahagia orang,happy,0.05
kunci juang nama bangsa negara nama pimpin partai fokus juang jaga negara satu republik indonesia tidak usah masuk konflik penting kunci tenang orang tidak mau jokowi turun ganti ngeri sedap,neutral,0.34
orang muka badak rusak nama pp,angry,0.91
iyhh sepi banget huhu,sad,0.78
tidak begitu suka susu minum susu biar bongsor,neutral,0.22
cok pagi pagi emosi,angry,0.86
anjir menang benar lihat pisah bikin sedih,sad,0.68
dapat buku pesan chat temu sayang toko daring shopee tokopedia,neutral,0.3
tkde janji manis harap palsu simpan,sad,0.74
chat bina deg deg an takut ya,anxious,0.83
jeno hadiah powerbank moomin renjun ya jeno biar renjun jeno pas renjun pakai powerbanknya oh jeno bilang renjun tidak sih suka kayak suka moomin cemburu lucu lucu banget,happy,0.15
kertas hiyo cakap banget lihat tanggal jangan sedih hiyo benar cantik,sad,0.79
bodoh,angry,0.98
sunyi ya tidak ada ramai tidak ada omicron bikin sepi lara,sad,0.66
janlup sarap semangat,happy,0.18
huhu jiheon graduation yaabakalan kangen ajar bareng jiheon tugas suka tonton vlog jiheon ajar biar kayak ajar bareng jiheon sedih banget jiheon tidak bisa gradupadahal lihat,neutral,0.33
sakit tenggorok bersin mual muntah badan kayak tidak enak tidak demam pas iseng baca gejala omicron langsung ovt doa sehat ya moga masuk angin radang sedih kena sakit,neutral,0.27
bodoh tidak apa jangan dungu om said didu ajar mufon sakit hati om,angry,0.99
takut banget pilek,anxious,0.75
chip enak biyanget,happy,0.01
kabar semester,neutral,0.3
anjing akun tolol,angry,0.93
alas kuat direksi sebelumya undur bumper takut takut sedap,anxious,0.7
orang bodoh ustad ikut bodoh,angry,0.98
undang bodoh kepala hangguk hentam sah salah jarak between kenderaan selang kereta tau undang jalan raya bodoh piang ngat aaiihh meh keter sodok backhoe kali tegak undang bodoh,angry,0.99
takut kak,anxious,0.87
richi ibel takut,anxious,0.77
paddy mcnair babak sangat lambat menang tidak manfaat peluang dorong performa sangat bagus,neutral,0.32
kecewa banget gara gara tidak ucap,sad,0.67
denise sayang sedih banget,sad,0.59
nunaa nuna keyyen anenn kabar nun huee kangen banget sedih nunn kangen kangen doang,neutral,0.33
orang dewasa tahan perih hidup sampo perih,neutral,0.27
tidak enak hati tidak sih,anxious,0.7
takut banget loch abai muka,anxious,0.81
gelar duga palsu minimal hasil nyuap sok keren istilah coattail coat tail buzzer profesor kualitas liqo minggu,neutral,0.37
semangat semangat,happy,0.02
bo ya boring bodoh,neutral,0.25
kesal banget gue suka banget ngisenginn kayak andal guru weeaboo tidak banget produktif tidak seperti sosial butterfly banget gampang akrab orang,angry,0.94
takut malu jangan kasih palu mas,anxious,0.81
selamat pagi jiwa jiwaa sepi,neutral,0.3
kerja gabriela,neutral,0.21
ih marah,angry,0.98
sangat kalau mimpi suka kecoh jerit jerit ya know mimpi opposite perangai nak jerit loghat nismilan kat mak cik anak sibuk,neutral,0.39
jangan lupa bahagia,neutral,0.32
kabar es doger bisnis laundry komisi berantas korupsi takut usut uenaknya,neutral,0.35
jujur banget tidak obrol saya tidak muncul grup kuil moga obrol teman teman kabar rai genius,neutral,0.24
kaget telat,anxious,0.87
dicekokin cakap kulit putih alias tolol,angry,0.91
kali ngekos tidak enak kotor suka rebut bersih adem ayem aduh pokok enak gantung bersih sifat anak kosannya ya enak tidak enak lucu,happy,0.15
poin tolol banget anjir astagfirullah,angry,0.86
jengkel ya teman teman kelompok,angry,0.91
sedih tgok vdeo rayan moga selamat,neutral,0.39
senang sangka line muda sujiya,neutral,0.34
sepi sepi,neutral,0.29
tidak sih bimbing gabung ayah si si jiper malu banget ngang ngong ngang ngong bego,sad,0.68
emosi,angry,0.93
kaget hasil semester kemarin ya mari tingkat semester,anxious,0.86
eumm ya ketemu enak,happy,0.14
