text,emotion_label,stress_label
bingung dan takut ambil keputusan dan kepikiran terus di kantor sama temen kantor,anxious,0.83
takut kalau hasilnya jelek sumpah pas perjalanan sama keluarga,anxious,0.76
rasanya kosong aja hari ini banget asli pas perjalanan,sad,0.85
capek sama keadaan sekarang hari ini pas perjalanan sama dia,sad,0.62
kesal banget hari ini sih di kampus sama dia,angry,0.89
hari ini ga ada hal spesial padahal udah coba santai di rumah,neutral,0.34
capek ngadepin orang yang egois padahal udah coba santai bareng temen sama temen kantor,angry,0.76
masih susah move on dari kejadian itu banget bareng temen sendiri,sad,0.62
khawatir sama kondisi sekarang wkwk di rumah sendiri,anxious,0.87
capek ngadepin orang yang egois jujur aja di kampus sendiri,angry,0.87
kecewa banget sama hasilnya wkwk di kantor sama temen kantor,sad,0.76
kenapa sih harus bikin masalah terus sih sama dia,angry,0.72
sekarang lagi nonton youtube sumpah di kampus sama keluarga,neutral,0.41
hari ini biasa aja seperti biasanya tapi yaudahlah tadi pagi sama keluarga,neutral,0.45
sekarang lagi nonton youtube banget asli tadi pagi sama keluarga,neutral,0.27
capek sih tapi puas hasilnya bagus dari tadi kepikiran waktu malam,happy,0.2
hari ini berat banget dijalanin sih di kantor sama temen kantor,sad,0.57
hari ini biasa aja seperti biasanya jujur aja waktu malam sama keluarga,neutral,0.4
lagi duduk sambil denger musik dan kepikiran terus bareng temen,neutral,0.44
capek sama keadaan sekarang sih waktu malam sama temen kantor,sad,0.58
capek sih tapi puas hasilnya bagus tapi yaudahlah di rumah,happy,0.18
hari ini berat banget dijalanin hari ini di rumah sama dia,sad,0.79
rasanya pengen marah terus banget di rumah sama dia,angry,0.79
tadi pagi pergi sebentar ke minimarket banget asli di kampus sama temen kantor,neutral,0.42
sekarang lagi nonton youtube agak random sih di kampus sama temen kantor,neutral,0.29
rasanya pengen marah terus padahal udah coba santai tadi pagi sama keluarga,angry,0.66
deg degan nunggu hasil pengumuman banget asli di rumah sama dia,anxious,0.95
hari ini biasa aja seperti biasanya banget bareng temen sama dia,neutral,0.4
makasih ya udah bikin hariku lebih baik wkwk tadi pagi sama keluarga,happy,0.18
deg degan nunggu hasil pengumuman sumpah di kampus sama keluarga,anxious,0.91
cuaca hari ini lumayan panas hari ini pas perjalanan sendiri,neutral,0.42
anxious banget sebelum meeting tadi waktu malam,anxious,0.97
lagi duduk sambil denger musik dari tadi kepikiran waktu malam sendiri,neutral,0.21
capek sih tapi puas hasilnya bagus sih di rumah sendiri,happy,0.09
ngerasa sendirian akhir akhir ini waktu malam,sad,0.69
udah sabar tapi masih dibohongin serius waktu malam sama temen kantor,angry,0.67
capek sih tapi puas hasilnya bagus dan kepikiran terus sendiri,happy,0.29
akhirnya lolos interview kerja bareng temen sama dia,happy,0.11
sekarang lagi nonton youtube banget bareng temen sama dia,neutral,0.24
seneng banget hari ini ketemu temen lama dan kepikiran terus waktu malam sama keluarga,happy,0.15
malam ini kepikiran terus jadi sedih tapi yaudahlah bareng temen,sad,0.61
rasanya gugup terus hari ini hari ini sama dia,anxious,0.86
kepikiran banyak hal sampai susah tidur dari tadi kepikiran di rumah sama temen kantor,anxious,0.76
hari ini ga ada hal spesial hari ini tadi pagi sendiri,neutral,0.44
capek sama keadaan sekarang hari ini di rumah sama temen kantor,sad,0.78
aku cuma pengen istirahat sebentar serius waktu malam sama temen kantor,sad,0.78
kecewa banget sama hasilnya banget di rumah sama dia,sad,0.6
makasih ya udah bikin hariku lebih baik wkwk di kantor sama keluarga,happy,0.19
lagi baca berita sambil santai banget di rumah sendiri,neutral,0.24
rasanya gugup terus hari ini di rumah sama temen kantor,anxious,0.84
hari ini biasa aja seperti biasanya sumpah di kantor,neutral,0.3
makasih ya udah bikin hariku lebih baik hari ini di kantor sama temen kantor,happy,0.19
akhirnya lolos interview kerja wkwk pas perjalanan sendiri,happy,0.12
kepikiran banyak hal sampai susah tidur sih bareng temen sendiri,anxious,0.74
hari ini berat banget dijalanin dan kepikiran terus pas perjalanan,sad,0.65
masih susah move on dari kejadian itu agak random sih pas perjalanan sendiri,sad,0.56
khawatir sama kondisi sekarang jujur aja di kantor,anxious,0.89
rasanya sedih banget akhir akhir ini dari tadi kepikiran pas perjalanan sama dia,sad,0.71
makan favorit hari ini bikin bahagia agak random sih pas perjalanan,happy,0.13
akhir akhir ini overthinking terus serius pas perjalanan sama dia,anxious,0.73
rasanya sedih banget akhir akhir ini serius di kantor sendiri,sad,0.8
kepikiran banyak hal sampai susah tidur serius di rumah sendiri,anxious,0.72
akhir akhir ini overthinking terus waktu malam sama temen kantor,anxious,0.97
takut gagal di presentasi besok tapi yaudahlah di rumah,anxious,0.96
hari ini biasa aja seperti biasanya sih di kampus,neutral,0.29
akhirnya tugas selesai juga lega banget tapi yaudahlah tadi pagi sendiri,happy,0.08
marah banget karena kerjaan berantakan bareng temen sama dia,angry,0.87
kepikiran banyak hal sampai susah tidur banget bareng temen sama keluarga,anxious,0.81
senyum sendiri pas inget kejadian tadi sih bareng temen,happy,0.07
orang itu bikin emosi banget banget di kantor sama dia,angry,0.84
emosi lihat komentar orang tadi serius di rumah sama keluarga,angry,0.67
deg degan nunggu hasil pengumuman sih waktu malam,anxious,0.88
bingung dan takut ambil keputusan pas perjalanan,anxious,0.73
hari ini produktif dan mood bagus serius di rumah sama keluarga,happy,0.25
masih susah move on dari kejadian itu dari tadi kepikiran pas perjalanan sama keluarga,sad,0.66
cemas mikirin masa depan padahal udah coba santai di kampus sama keluarga,anxious,0.92
kepikiran banyak hal sampai susah tidur sumpah pas perjalanan sama keluarga,anxious,0.93
akhirnya tugas selesai juga lega banget sumpah di kantor sama dia,happy,0.11
dapat kabar baik dari keluarga tadi pagi agak random sih di kampus sendiri,happy,0.26
senyum sendiri pas inget kejadian tadi wkwk pas perjalanan sama dia,happy,0.21
kehilangan semangat buat ngapa ngapain sih di kantor,sad,0.63
capek ngadepin orang yang egois banget di kantor sama dia,angry,0.84
kecewa banget sama hasilnya padahal udah coba santai pas perjalanan sama dia,sad,0.78
seneng banget hari ini ketemu temen lama sumpah sama keluarga,happy,0.29
lagi duduk sambil denger musik dari tadi kepikiran di rumah sama dia,neutral,0.3
rasanya gugup terus hari ini serius di rumah sama dia,anxious,0.83
takut kalau hasilnya jelek hari ini di kampus,anxious,0.8
besok ada jadwal meeting rutin banget asli di kantor sama temen kantor,neutral,0.31
khawatir sama kondisi sekarang serius di kantor,anxious,0.9
aku cuma pengen istirahat sebentar banget asli waktu malam,sad,0.82
udah sabar tapi masih dibohongin dari tadi kepikiran pas perjalanan sendiri,angry,0.94
kenapa sih harus bikin masalah terus banget asli bareng temen sama keluarga,angry,0.82
sekarang lagi nonton youtube padahal udah coba santai di kampus sama dia,neutral,0.34
hari ini berat banget dijalanin wkwk di kampus sama keluarga,sad,0.63
udah sabar tapi masih dibohongin banget di kampus sama temen kantor,angry,0.81
takut gagal di presentasi besok serius waktu malam,anxious,0.82
khawatir sama kondisi sekarang serius tadi pagi sendiri,anxious,0.91
geram banget sama pelayanan tadi hari ini tadi pagi sama keluarga,angry,0.75
deg degan nunggu hasil pengumuman jujur aja bareng temen sama temen kantor,anxious,0.91
emosi lihat komentar orang tadi dan kepikiran terus waktu malam sama keluarga,angry,0.82
geram banget sama pelayanan tadi tapi yaudahlah pas perjalanan sendiri,angry,0.82
malam ini kepikiran terus jadi sedih sih di kampus sama dia,sad,0.61
akhir minggu ini seru banget padahal udah coba santai di kampus sama temen kantor,happy,0.1
akhir akhir ini overthinking terus tapi yaudahlah di kampus,anxious,0.8
rasanya pengen marah terus wkwk pas perjalanan,angry,0.94
kesal banget hari ini padahal udah coba santai bareng temen sendiri,angry,0.83
rasanya gugup terus hari ini dari tadi kepikiran tadi pagi sama temen kantor,anxious,0.88
khawatir sama kondisi sekarang tapi yaudahlah tadi pagi sama temen kantor,anxious,0.74
takut kalau hasilnya jelek dan kepikiran terus di rumah sama keluarga,anxious,0.71
rasanya pengen marah terus wkwk di rumah sama temen kantor,angry,0.74
makan favorit hari ini bikin bahagia di kantor sendiri,happy,0.07
akhirnya lolos interview kerja dari tadi kepikiran di kampus sama temen kantor,happy,0.16
kecewa banget sama hasilnya serius di rumah sama temen kantor,sad,0.67
makan favorit hari ini bikin bahagia agak random sih di kampus sendiri,happy,0.29
hari ini ga ada hal spesial banget asli waktu malam sama temen kantor,neutral,0.33
rasanya pengen marah terus dari tadi kepikiran waktu malam sama dia,angry,0.74
lagi duduk sambil denger musik tapi yaudahlah di kampus sama temen kantor,neutral,0.24
rasanya pengen marah terus banget di rumah sama temen kantor,angry,0.88
masih susah move on dari kejadian itu banget asli pas perjalanan sendiri,sad,0.59
geram banget sama pelayanan tadi tadi pagi sama keluarga,angry,0.9
hari ini ga ada hal spesial serius bareng temen sendiri,neutral,0.32
habis beresin kamar dan lanjut kerja agak random sih di kampus sama keluarga,neutral,0.37
hari ini ga ada hal spesial serius di kampus sama temen kantor,neutral,0.37
kehilangan semangat buat ngapa ngapain banget di kantor sama dia,sad,0.55
sekarang lagi nonton youtube sumpah di kampus sama dia,neutral,0.37
marah banget karena kerjaan berantakan sih waktu malam,angry,0.68
seneng banget hari ini ketemu temen lama banget di kantor sama keluarga,happy,0.09
marah banget karena kerjaan berantakan padahal udah coba santai sama temen kantor,angry,0.76
dapat kabar baik dari keluarga tadi pagi serius pas perjalanan sama keluarga,happy,0.22
capek sama keadaan sekarang dan kepikiran terus pas perjalanan sama dia,sad,0.71
anxious banget sebelum meeting tadi padahal udah coba santai waktu malam sama dia,anxious,0.98
baru selesai makan siang tadi jujur aja tadi pagi sama dia,neutral,0.41
seneng banget hari ini ketemu temen lama padahal udah coba santai tadi pagi sendiri,happy,0.29
senyum sendiri pas inget kejadian tadi agak random sih pas perjalanan sama keluarga,happy,0.26
kehilangan semangat buat ngapa ngapain banget sama dia,sad,0.69
dapat kabar baik dari keluarga tadi pagi dari tadi kepikiran di kantor sendiri,happy,0.15
ngerasa sendirian akhir akhir ini jujur aja sama keluarga,sad,0.58
kepikiran banyak hal sampai susah tidur wkwk di rumah sendiri,anxious,0.89
kepikiran banyak hal sampai susah tidur jujur aja di kampus sama dia,anxious,0.84
rasanya sedih banget akhir akhir ini jujur aja tadi pagi sama dia,sad,0.82
capek ngadepin orang yang egois dari tadi kepikiran di kantor sama temen kantor,angry,0.94
lagi baca berita sambil santai dan kepikiran terus di rumah sama keluarga,neutral,0.42
makan favorit hari ini bikin bahagia hari ini di kantor,happy,0.18
kepikiran banyak hal sampai susah tidur sih di kantor sama temen kantor,anxious,0.7
udah sabar tapi masih dibohongin padahal udah coba santai waktu malam sama temen kantor,angry,0.73
hari ini produktif dan mood bagus tapi yaudahlah di rumah sendiri,happy,0.15
udah sabar tapi masih dibohongin banget tadi pagi sama dia,angry,0.79
makan favorit hari ini bikin bahagia padahal udah coba santai di kampus sama dia,happy,0.13
baru selesai makan siang tadi sih waktu malam sama temen kantor,neutral,0.23
takut gagal di presentasi besok dari tadi kepikiran di kampus sama dia,anxious,0.72
hari ini biasa aja seperti biasanya sih tadi pagi sama temen kantor,neutral,0.28
rasanya pengen marah terus tapi yaudahlah di rumah sendiri,angry,0.82
udah sabar tapi masih dibohongin tadi pagi sama temen kantor,angry,0.76
dapat kabar baik dari keluarga tadi pagi padahal udah coba santai bareng temen sama keluarga,happy,0.18
makan favorit hari ini bikin bahagia banget asli di kantor sama keluarga,happy,0.19
senyum sendiri pas inget kejadian tadi agak random sih sendiri,happy,0.22
cuaca hari ini lumayan panas hari ini di rumah,neutral,0.3
kehilangan semangat buat ngapa ngapain agak random sih di kantor sama keluarga,sad,0.62
rasanya pengen marah terus tapi yaudahlah,angry,0.72
ngerasa sendirian akhir akhir ini banget di rumah sama keluarga,sad,0.83
malam ini kepikiran terus jadi sedih jujur aja waktu malam,sad,0.57
akhir akhir ini overthinking terus tapi yaudahlah pas perjalanan sama temen kantor,anxious,0.88
rasanya kosong aja hari ini dan kepikiran terus waktu malam sama temen kantor,sad,0.64
capek sih tapi puas hasilnya bagus dari tadi kepikiran bareng temen,happy,0.24
kesal banget hari ini sih pas perjalanan,angry,0.79
akhirnya lolos interview kerja dari tadi kepikiran di kampus sama temen kantor,happy,0.26
hari ini berat banget dijalanin banget di kantor sama temen kantor,sad,0.55
aku cuma pengen istirahat sebentar jujur aja sama dia,sad,0.68
lagi duduk sambil denger musik sih pas perjalanan sama temen kantor,neutral,0.34
akhir minggu ini seru banget banget waktu malam sama dia,happy,0.11
capek sama keadaan sekarang dan kepikiran terus pas perjalanan sama keluarga,sad,0.76
takut gagal di presentasi besok agak random sih bareng temen,anxious,0.88
cuaca hari ini lumayan panas jujur aja di kampus sama dia,neutral,0.45
rasanya gugup terus hari ini wkwk di kampus sendiri,anxious,0.85
geram banget sama pelayanan tadi sih di kantor sendiri,angry,0.7
kepikiran banyak hal sampai susah tidur wkwk tadi pagi sama temen kantor,anxious,0.76
rasanya kosong aja hari ini padahal udah coba santai di kantor sama keluarga,sad,0.78
kenapa sih harus bikin masalah terus hari ini di kampus sendiri,angry,0.66
tadi pagi pergi sebentar ke minimarket tapi yaudahlah di rumah sama keluarga,neutral,0.29
aku cuma pengen istirahat sebentar serius di kampus sama temen kantor,sad,0.73
rasanya pengen marah terus padahal udah coba santai bareng temen sama dia,angry,0.92
ngerasa sendirian akhir akhir ini dan kepikiran terus di kantor,sad,0.8
kehilangan semangat buat ngapa ngapain banget asli tadi pagi sendiri,sad,0.59
capek ngadepin orang yang egois serius di kampus sendiri,angry,0.77
akhirnya lolos interview kerja jujur aja sama temen kantor,happy,0.09
makan favorit hari ini bikin bahagia dan kepikiran terus bareng temen sama keluarga,happy,0.28
takut gagal di presentasi besok dari tadi kepikiran waktu malam,anxious,0.77
capek sih tapi puas hasilnya bagus banget asli pas perjalanan sama temen kantor,happy,0.28
deg degan nunggu hasil pengumuman jujur aja bareng temen,anxious,0.78
akhir akhir ini overthinking terus serius di kampus sama keluarga,anxious,0.83
khawatir sama kondisi sekarang padahal udah coba santai di kampus,anxious,0.91
habis beresin kamar dan lanjut kerja sih bareng temen sendiri,neutral,0.29
geram banget sama pelayanan tadi sumpah waktu malam sendiri,angry,0.76
kepikiran banyak hal sampai susah tidur waktu malam sama keluarga,anxious,0.95
kehilangan semangat buat ngapa ngapain serius tadi pagi sama dia,sad,0.82
kenapa sih harus bikin masalah terus banget asli bareng temen sendiri,angry,0.89
khawatir sama kondisi sekarang dan kepikiran terus di kantor sama keluarga,anxious,0.83
anxious banget sebelum meeting tadi dari tadi kepikiran waktu malam sama temen kantor,anxious,0.83
rasanya pengen marah terus hari ini tadi pagi sama temen kantor,angry,0.75
kenapa sih harus bikin masalah terus serius di rumah sama dia,angry,0.92
rasanya pengen marah terus agak random sih di rumah sama temen kantor,angry,0.92
tadi pagi pergi sebentar ke minimarket sumpah di rumah sendiri,neutral,0.22
emosi lihat komentar orang tadi agak random sih waktu malam,angry,0.79
capek ngadepin orang yang egois tadi pagi sama temen kantor,angry,0.94
akhir akhir ini overthinking terus sumpah di kantor,anxious,0.74
rasanya sedih banget akhir akhir ini padahal udah coba santai pas perjalanan sama temen kantor,sad,0.62
sekarang lagi nonton youtube serius tadi pagi sendiri,neutral,0.38
senyum sendiri pas inget kejadian tadi padahal udah coba santai tadi pagi sama keluarga,happy,0.19
marah banget karena kerjaan berantakan wkwk tadi pagi,angry,0.8
hari ini ga ada hal spesial sumpah di kantor sama keluarga,neutral,0.3
kesal banget hari ini banget di rumah sama dia,angry,0.87
kehilangan semangat buat ngapa ngapain hari ini di kantor sama keluarga,sad,0.84
takut gagal di presentasi besok agak random sih tadi pagi sama keluarga,anxious,0.73
akhirnya tugas selesai juga lega banget tadi pagi sama keluarga,happy,0.1
khawatir sama kondisi sekarang hari ini tadi pagi sama keluarga,anxious,0.91
tadi pagi pergi sebentar ke minimarket agak random sih pas perjalanan sama keluarga,neutral,0.31
rasanya pengen marah terus padahal udah coba santai sendiri,angry,0.8
geram banget sama pelayanan tadi tapi yaudahlah pas perjalanan sama dia,angry,0.76
besok ada jadwal meeting rutin sumpah di kampus,neutral,0.3
rasanya kosong aja hari ini banget asli di kampus sama temen kantor,sad,0.66
hari ini produktif dan mood bagus agak random sih di kantor sama temen kantor,happy,0.26
hari ini produktif dan mood bagus banget waktu malam,happy,0.22
takut gagal di presentasi besok wkwk di rumah sama temen kantor,anxious,0.72
emosi lihat komentar orang tadi banget di kantor sama temen kantor,angry,0.67
takut kalau hasilnya jelek agak random sih pas perjalanan sama temen kantor,anxious,0.97
makasih ya udah bikin hariku lebih baik wkwk di kampus sama keluarga,happy,0.24
akhirnya tugas selesai juga lega banget dan kepikiran terus di kantor sama dia,happy,0.18
cuaca hari ini lumayan panas sumpah di kantor sendiri,neutral,0.23
aku cuma pengen istirahat sebentar banget asli waktu malam sama temen kantor,sad,0.8
udah sabar tapi masih dibohongin dari tadi kepikiran di kantor sama temen kantor,angry,0.72
khawatir sama kondisi sekarang banget waktu malam sama keluarga,anxious,0.83
habis beresin kamar dan lanjut kerja wkwk sama keluarga,neutral,0.33
capek sama keadaan sekarang agak random sih di kantor sendiri,sad,0.78
kenapa sih harus bikin masalah terus dan kepikiran terus tadi pagi sendiri,angry,0.94
masih susah move on dari kejadian itu agak random sih di kampus sendiri,sad,0.85
tadi pagi pergi sebentar ke minimarket padahal udah coba santai di kampus,neutral,0.24
hari ini produktif dan mood bagus hari ini bareng temen,happy,0.15
rasanya gugup terus hari ini serius sendiri,anxious,0.71
kehilangan semangat buat ngapa ngapain agak random sih pas perjalanan sama dia,sad,0.8
khawatir sama kondisi sekarang banget waktu malam sendiri,anxious,0.8
rasanya kosong aja hari ini pas perjalanan sendiri,sad,0.67
masih susah move on dari kejadian itu tapi yaudahlah di kantor sama keluarga,sad,0.75
anxious banget sebelum meeting tadi wkwk waktu malam sama dia,anxious,0.73
habis beresin kamar dan lanjut kerja hari ini pas perjalanan sama dia,neutral,0.27
tadi pagi pergi sebentar ke minimarket agak random sih bareng temen sama keluarga,neutral,0.27
geram banget sama pelayanan tadi sih pas perjalanan sama temen kantor,angry,0.68
malam ini kepikiran terus jadi sedih padahal udah coba santai,sad,0.63
capek ngadepin orang yang egois padahal udah coba santai di kampus sama keluarga,angry,0.7
dapat kabar baik dari keluarga tadi pagi dari tadi kepikiran di kampus sama dia,happy,0.21
hari ini ga ada hal spesial dari tadi kepikiran pas perjalanan sendiri,neutral,0.31
deg degan nunggu hasil pengumuman dan kepikiran terus di rumah sama temen kantor,anxious,0.76
kepikiran banyak hal sampai susah tidur banget sama keluarga,anxious,0.73
masih susah move on dari kejadian itu jujur aja sama keluarga,sad,0.59
masih susah move on dari kejadian itu sih di rumah,sad,0.59
dapat kabar baik dari keluarga tadi pagi sumpah tadi pagi,happy,0.21
cuaca hari ini lumayan panas sumpah pas perjalanan sama dia,neutral,0.32
cemas mikirin masa depan wkwk sendiri,anxious,0.82
tadi pagi pergi sebentar ke minimarket tapi yaudahlah di kantor sama dia,neutral,0.38
deg degan nunggu hasil pengumuman hari ini waktu malam,anxious,0.92
sekarang lagi nonton youtube sendiri,neutral,0.45
rasanya sedih banget akhir akhir ini agak random sih di kantor sama keluarga,sad,0.77
rasanya pengen marah terus jujur aja di kantor,angry,0.92
kesal banget hari ini serius,angry,0.74
emosi lihat komentar orang tadi wkwk pas perjalanan sama temen kantor,angry,0.74
kesel banget sama orang yang ga tepat waktu jujur aja di kampus sama temen kantor,angry,0.79
lagi duduk sambil denger musik banget waktu malam sama dia,neutral,0.43
ngerasa sendirian akhir akhir ini serius tadi pagi sendiri,sad,0.7
ngerasa sendirian akhir akhir ini wkwk bareng temen sama dia,sad,0.84
aku cuma pengen istirahat sebentar jujur aja waktu malam,sad,0.85
kesal banget hari ini banget asli bareng temen sama dia,angry,0.91
bingung dan takut ambil keputusan sih pas perjalanan,anxious,0.73
lagi duduk sambil denger musik sih sama temen kantor,neutral,0.43
emosi lihat komentar orang tadi padahal udah coba santai di kampus sendiri,angry,0.83
bingung dan takut ambil keputusan padahal udah coba santai di kantor sama dia,anxious,0.88
rasanya gugup terus hari ini tapi yaudahlah sama temen kantor,anxious,0.89
capek sama keadaan sekarang banget bareng temen sama dia,sad,0.71
senyum sendiri pas inget kejadian tadi agak random sih tadi pagi sama keluarga,happy,0.13
hari ini ga ada hal spesial dari tadi kepikiran di rumah sama dia,neutral,0.41
takut kalau hasilnya jelek wkwk di kampus,anxious,0.77
akhirnya lolos interview kerja hari ini di kampus sama temen kantor,happy,0.3
hari ini berat banget dijalanin dan kepikiran terus di rumah,sad,0.78
capek sama keadaan sekarang padahal udah coba santai bareng temen sama temen kantor,sad,0.56
senyum sendiri pas inget kejadian tadi banget asli bareng temen sama dia,happy,0.09
makasih ya udah bikin hariku lebih baik jujur aja bareng temen sama keluarga,happy,0.23
udah sabar tapi masih dibohongin sumpah di kampus,angry,0.87
rasanya sedih banget akhir akhir ini padahal udah coba santai sendiri,sad,0.81
makasih ya udah bikin hariku lebih baik sumpah di kantor sama dia,happy,0.05
rasanya pengen marah terus dari tadi kepikiran di rumah sama temen kantor,angry,0.84
kehilangan semangat buat ngapa ngapain dari tadi kepikiran tadi pagi sama dia,sad,0.61
seneng banget hari ini ketemu temen lama agak random sih sendiri,happy,0.21
marah banget karena kerjaan berantakan sumpah di rumah sama dia,angry,0.7
udah sabar tapi masih dibohongin dan kepikiran terus pas perjalanan sama temen kantor,angry,0.88
sekarang lagi nonton youtube dan kepikiran terus waktu malam,neutral,0.41
capek sih tapi puas hasilnya bagus serius tadi pagi sama temen kantor,happy,0.2
sekarang lagi nonton youtube sih sendiri,neutral,0.22
deg degan nunggu hasil pengumuman jujur aja waktu malam sama temen kantor,anxious,0.83
cemas mikirin masa depan agak random sih pas perjalanan sama temen kantor,anxious,0.8
khawatir sama kondisi sekarang dari tadi kepikiran sama dia,anxious,0.86
lagi duduk sambil denger musik sih di kampus,neutral,0.23
ngerasa sendirian akhir akhir ini tapi yaudahlah sendiri,sad,0.76
hari ini biasa aja seperti biasanya dari tadi kepikiran bareng temen sama keluarga,neutral,0.43
akhirnya lolos interview kerja sih di rumah,happy,0.19
kehilangan semangat buat ngapa ngapain agak random sih tadi pagi sendiri,sad,0.81
rasanya sedih banget akhir akhir ini tapi yaudahlah di kampus sendiri,sad,0.8
udah sabar tapi masih dibohongin sumpah waktu malam sama keluarga,angry,0.88
hari ini produktif dan mood bagus wkwk sama keluarga,happy,0.14
akhir akhir ini overthinking terus pas perjalanan sama temen kantor,anxious,0.82
hari ini produktif dan mood bagus banget asli tadi pagi,happy,0.08
capek sih tapi puas hasilnya bagus agak random sih di kampus sendiri,happy,0.1
makan favorit hari ini bikin bahagia banget di rumah,happy,0.13
takut gagal di presentasi besok banget tadi pagi sama keluarga,anxious,0.74
dapat kabar baik dari keluarga tadi pagi tapi yaudahlah di rumah sama keluarga,happy,0.09
marah banget karena kerjaan berantakan tapi yaudahlah di kampus sama dia,angry,0.71
kesel banget sama orang yang ga tepat waktu padahal udah coba santai sendiri,angry,0.9
cemas mikirin masa depan banget asli tadi pagi sendiri,anxious,0.86
cemas mikirin masa depan di rumah sama temen kantor,anxious,0.7
kenapa sih harus bikin masalah terus dari tadi kepikiran di rumah,angry,0.67
lagi duduk sambil denger musik hari ini di rumah sendiri,neutral,0.42
emosi lihat komentar orang tadi sumpah waktu malam sama dia,angry,0.82
akhir minggu ini seru banget banget pas perjalanan,happy,0.13
khawatir sama kondisi sekarang sumpah bareng temen sama keluarga,anxious,0.93
hari ini berat banget dijalanin hari ini tadi pagi sama temen kantor,sad,0.61
kehilangan semangat buat ngapa ngapain tapi yaudahlah di rumah sama temen kantor,sad,0.8
ngerasa sendirian akhir akhir ini banget pas perjalanan sama temen kantor,sad,0.58
rasanya sedih banget akhir akhir ini agak random sih sama keluarga,sad,0.61
hari ini berat banget dijalanin dari tadi kepikiran waktu malam sama temen kantor,sad,0.71
akhir minggu ini seru banget jujur aja di kantor,happy,0.2
anxious banget sebelum meeting tadi waktu malam,anxious,0.86
udah sabar tapi masih dibohongin banget asli tadi pagi sama dia,angry,0.72
akhirnya tugas selesai juga lega banget banget asli di kantor sama dia,happy,0.27
hari ini produktif dan mood bagus sumpah pas perjalanan sama dia,happy,0.3
malam ini kepikiran terus jadi sedih dari tadi kepikiran pas perjalanan sama dia,sad,0.59
tadi pagi pergi sebentar ke minimarket dari tadi kepikiran pas perjalanan sama dia,neutral,0.29
